 27-04-2024 22:27:58, GPU temperature     ,GPU usage           ,Memory usage        ,Power percent       ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 22:29:00,73,95,5870.164,69,102.585,100,2488,100,87.868,18.291,55,20.8,23.5,24.9
 27-04-2024 22:29:01,73,97,5870.164,69,107.531,100,2485,100,85.433,18.263,55,20.8,23.5,24.9
 27-04-2024 22:29:02,72,98,5870.164,66,89.401,100,2464,100,85.415,17.889,53.9,20.8,23.5,24.9
 27-04-2024 22:29:03,71,98,5870.164,61,100.937,100,2471,100,89.144,17.779,52.9,20.8,23.5,24.9
 27-04-2024 22:29:04,72,98,5870.164,70,105.502,100,2461,100,86.235,18.11,55,20.8,23.5,24.9
 27-04-2024 22:29:05,68,21,5870.258,61,102.862,100,2461,100,75.804,18.073,39.9,20.8,23.5,24.9
 27-04-2024 22:29:06,70,97,5853.328,61,109.266,100,2465,100,96.873,18.347,48.1,20.8,23.5,24.9
 27-04-2024 22:29:07,69,75,5853.672,61,74.949,100,2455,100,100,18.271,50.9,20.8,23.5,24.9
 27-04-2024 22:29:08,69,83,5845.234,54,65.613,100,2462,100,100,17.063,49.6,20.8,23.5,24.9
 27-04-2024 22:29:09,68,79,5844.797,56,85.612,100,2465,100,100,16.972,51.8,20.8,23.5,24.9
 27-04-2024 22:29:10,68,85,5852.172,64,82.183,100,2455,100,100,16.972,52.8,20.8,23.5,24.9
 27-04-2024 22:29:11,68,89,5853.734,66,93.735,100,2462,100,100,17.043,52.9,20.8,23.5,24.9
 27-04-2024 22:29:12,68,87,5853.734,59,82.62,100,2448,100,100,17.47,53.1,20.8,23.5,24.9
 27-04-2024 22:29:13,67,87,5853.734,63,109.259,100,2452,100,100,17.703,52.1,20.8,23.5,24.9
 27-04-2024 22:29:14,67,82,5847.922,58,88.695,100,2459,100,98.879,17.797,51.3,20.8,23.5,24.9
 27-04-2024 22:29:15,67,88,5846.609,59,101.476,100,2455,100,94.171,17.521,50.8,20.8,23.5,24.9
 27-04-2024 22:29:16,66,88,5847.109,59,99.106,100,2462,100,92.895,17.331,54,20.8,23.5,24.9
 27-04-2024 22:29:17,66,83,5851.734,57,92.266,100,2459,100,94.055,17.202,49.2,20.8,23.5,24.9
 27-04-2024 22:29:18,65,77,5844.414,56,89.864,100,2459,100,98.376,17,41.7,20.8,23.5,24.9
 27-04-2024 22:29:19,64,56,5806.082,50,102.295,100,2459,100,99.864,17.079,41.7,20.8,23.5,24.9
 27-04-2024 22:29:20,63,56,5805.871,38,87.768,100,2459,99,100,16.962,37.3,20.8,23.5,24.9
 27-04-2024 22:29:21,63,65,5780.672,51,95.848,100,2453,100,100,17.423,39.6,20.8,23.5,24.9
 27-04-2024 22:29:22,64,88,5773.031,55,101.41,100,2463,100,99.958,17.479,45.1,20.8,23.5,24.9
 27-04-2024 22:29:23,64,76,5766.906,69,106.552,100,2453,100,99.794,17.214,46.7,20.8,23.5,24.9
 27-04-2024 22:29:24,64,93,5765,61,102.831,100,2460,100,99.993,17.115,48.5,20.8,23.5,24.9
 27-04-2024 22:29:25,63,75,5769.484,60,102.381,100,2463,100,100,17.168,47.2,20.8,23.5,24.9
 27-04-2024 22:29:26,64,93,5769.484,64,94.938,100,2456,100,100,17.117,51.6,20.8,23.5,24.9
 27-04-2024 22:29:27,64,85,5760.543,63,103.234,100,2453,100,100,16.692,50.1,20.8,23.5,24.9
 27-04-2024 22:29:28,63,87,5755.391,69,110.807,100,2464,100,100,17.208,52.1,20.8,23.5,24.9
 27-04-2024 22:29:29,64,93,5756.391,63,108.62,100,2443,100,100,17.522,54.4,20.8,23.5,24.9
 27-04-2024 22:29:30,64,94,5756.391,67,106.821,100,2457,100,100,16.816,54.6,20.8,23.5,24.9
 27-04-2024 22:29:31,64,95,5748.891,68,106.006,100,2457,100,96.582,17.111,58.9,20.8,23.5,24.9
 27-04-2024 22:29:32,64,96,5750.266,71,108.285,100,2444,99,92.693,17.079,57.9,20.8,23.5,24.9
 27-04-2024 22:29:33,63,94,5755.016,66,109.025,100,2454,100,94.57,17.638,57.9,20.8,23.5,24.9
 27-04-2024 22:29:34,63,94,5756.391,63,105.564,100,2437,100,100,17.484,53.1,20.8,23.5,24.9
 27-04-2024 22:29:35,63,96,5756.234,67,104.46,100,2454,100,100,16.845,54,20.8,23.5,24.9
 27-04-2024 22:29:36,63,95,5752.297,70,105.666,100,2447,100,100,17.153,56.9,20.8,23.5,24.9
 27-04-2024 22:29:37,62,97,5753.84,34,41.482,100,2441,100,100,16.282,56.3,20.8,23.5,24.9
 27-04-2024 22:29:38,61,73,5757.813,54,84.449,100,2444,100,100,17.496,52.1,20.8,23.5,24.9
 27-04-2024 22:29:39,61,75,5757.813,55,100.289,100,2458,100,99.789,16.849,59.9,20.8,23.5,24.9
 27-04-2024 22:29:40,60,72,5757.813,53,88.276,100,2454,100,75.588,16.929,60,20.8,23.5,24.9
 27-04-2024 22:29:41,61,80,5757.813,59,93.396,100,2458,100,87.634,17.938,59.9,20.8,23.5,24.9
 27-04-2024 22:29:42,61,77,5758.5,60,97.061,100,2451,100,87.099,16.804,60,20.8,23.5,24.9
 27-04-2024 22:29:43,59,68,5785.891,46,91.223,100,2441,100,82.361,16.892,53.6,20.8,23.5,24.9
 27-04-2024 22:29:44,62,99,5717.141,69,108.686,100,2448,100,98.776,16.677,54.4,20.8,23.5,24.9
 27-04-2024 22:29:45,61,84,5682.141,62,91.524,100,2435,100,88.104,16.212,60,20.8,23.5,24.9
 27-04-2024 22:29:46,60,82,5683.953,61,91.447,100,2438,100,84.6,16.354,59,20.8,23.5,24.9
 27-04-2024 22:29:47,61,100,5748.516,70,107.436,100,2445,100,84.631,16.776,57.7,20.8,23.5,24.9
 27-04-2024 22:29:48,60,80,5683.828,59,102.671,100,2428,100,100,17.148,59.2,20.8,23.5,24.9
 27-04-2024 22:29:49,60,82,5683.828,63,100.695,100,2432,100,100,17.21,59.9,20.8,23.5,24.9
 27-04-2024 22:29:50,60,85,5686.129,58,103.739,100,2449,100,100,17.831,59.9,20.8,23.5,24.9
 27-04-2024 22:29:51,60,73,5692.504,48,48.672,100,2449,100,99.999,16.052,57.8,20.8,23.5,24.9
 27-04-2024 22:29:52,60,97,5722.441,68,112.808,100,2435,100,100,16.301,55.3,20.8,23.5,24.9
 27-04-2024 22:29:53,61,89,5722.441,71,110.171,100,2452,100,99.944,16.345,60,20.8,23.5,24.9
 27-04-2024 22:29:54,61,91,5722.254,71,104.026,100,2455,100,98.996,16.718,60,20.8,23.5,24.9
 27-04-2024 22:29:55,61,92,5723.629,71,110.954,100,2432,100,99.157,16.397,59,20.8,23.5,24.9
 27-04-2024 22:29:56,60,85,5712.941,59,93.574,100,2446,100,85.528,16.483,59.9,20.8,23.5,24.9
 27-04-2024 22:29:57,60,87,5712.941,63,102.522,100,2432,100,70.127,16.715,60,20.8,23.5,24.9
 27-04-2024 22:29:58,60,83,5712.941,59,105.958,100,2432,100,58.711,16.899,59.9,20.8,23.5,24.9
 27-04-2024 22:29:59,61,94,5712.941,72,107.735,100,2446,100,76.521,16.625,58,20.8,23.5,24.9
 27-04-2024 22:30:00,60,90,5712.941,68,106.854,100,2446,100,74.66,16.969,59.9,20.8,23.9,26
 27-04-2024 22:30:01,60,83,5712.941,61,96.493,100,2443,100,71.634,17.228,59.9,20.8,23.9,26
 27-04-2024 22:30:02,59,82,5712.941,60,100.892,100,2449,100,68.054,16.781,59.9,20.8,23.9,26
 27-04-2024 22:30:03,59,81,5712.941,62,95.497,100,2449,99,67.291,17.218,60,20.8,23.9,26
 27-04-2024 22:30:04,59,83,5712.941,63,93.966,100,2433,100,70.279,17.691,59.9,20.8,23.9,26
 27-04-2024 22:30:05,60,87,5712.941,65,101.669,100,2446,100,72.335,16.98,60,20.8,23.9,26
 27-04-2024 22:30:06,59,83,5712.941,63,101.701,100,2426,100,70.504,17.082,59.9,20.8,23.9,26
 27-04-2024 22:30:07,59,84,5712.254,62,103.452,100,2426,100,74.481,17.424,60,20.8,23.9,26
 27-04-2024 22:30:08,58,80,5712.379,56,98.144,100,2440,100,77.564,17.104,59.9,20.8,23.9,26
 27-04-2024 22:30:09,59,86,5717.316,59,102.557,100,2446,100,75.573,17.094,60,20.8,23.9,26
 27-04-2024 22:30:10,58,84,5717.316,57,103.73,100,2433,100,77.88,16.6,59.9,20.8,23.9,26
 27-04-2024 22:30:11,58,79,5717.316,55,97.371,100,2433,100,83.409,15.76,59.9,20.8,23.9,26
