 24-04-2024 23:05:58, GPU temperature     ,GPU temperature 2   ,GPU usage           ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,T outside (C ),T Exhaust (C ),T Internal (C )
 24-04-2024 23:07:00,48,54,54,74,20,1014,60,26.809,35.174,59.9,22.6,32.1,27.2
 24-04-2024 23:07:01,48,54,56,76,20,1012,60,26.69,35.852,59.9,22.6,32.1,27.2
 24-04-2024 23:07:02,47,54,68,78,20,1012,60,26.874,35.416,59.9,22.6,32.1,27.2
 24-04-2024 23:07:03,48,54,60,73,20,1013,63,26.791,35.304,59.9,22.6,32.1,27.2
 24-04-2024 23:07:04,48,55,51,82,20,1014,60,27.08,35.66,59.9,22.6,32.1,27.2
 24-04-2024 23:07:05,46,52,57,51,20,1013,69,25.292,36.169,59.9,22.6,32.1,27.2
 24-04-2024 23:07:06,48,55,53,87,20,1015,66,29.95,40.919,56.2,22.6,32.1,27.2
 24-04-2024 23:07:07,48,55,68,84,20,1012,68,35.553,54.14,59.9,22.6,32.1,27.2
 24-04-2024 23:07:08,48,55,75,88,20,1009,62,31.912,41.416,59.9,22.6,32.1,27.2
 24-04-2024 23:07:09,48,55,68,81,20,1009,61,33.649,50.878,59.9,22.6,32.1,27.2
 24-04-2024 23:07:10,49,56,78,90,20,1011,61,30.819,40.582,59.9,22.6,32.1,27.2
 24-04-2024 23:07:11,49,54,84,84,20,1012,62,28.867,40.119,59.9,22.6,32.1,27.2
 24-04-2024 23:07:12,49,55,67,85,20,1015,61,30.378,40.849,59.9,22.6,32.1,27.2
 24-04-2024 23:07:13,49,56,55,86,20,1015,63,30.881,40.636,59.9,22.6,32.1,27.2
 24-04-2024 23:07:14,49,56,56,88,20,1015,61,30.615,43.043,59.9,22.6,32.1,27.2
 24-04-2024 23:07:15,49,55,52,86,20,1013,61,31.883,38.994,59.9,22.6,32.1,27.2
 24-04-2024 23:07:16,49,56,60,93,20,1014,62,29.913,44.003,59.9,22.6,32.1,27.2
 24-04-2024 23:07:17,49,56,50,85,20,1012,61,30.241,42.287,59.9,22.6,32.1,27.2
 24-04-2024 23:07:18,49,55,43,85,20,1012,59,31,42.815,59.9,22.6,32.1,27.2
 24-04-2024 23:07:19,49,55,72,90,20,1012,60,30.889,43.593,59.9,22.6,32.1,27.2
 24-04-2024 23:07:20,49,55,75,85,20,1008,61,29.426,44.42,59.9,22.6,32.1,27.2
 24-04-2024 23:07:21,49,55,66,85,20,1012,60,29.512,42.943,59.9,22.6,32.1,27.2
 24-04-2024 23:07:22,50,56,74,85,20,1014,63,28.998,44.434,59.9,22.6,32.1,27.2
 24-04-2024 23:07:23,49,55,76,85,20,1012,63,29.896,42.496,59.9,22.6,32.1,27.2
 24-04-2024 23:07:24,49,55,65,84,20,1011,66,37.071,49.61,57.9,22.6,32.1,27.2
 24-04-2024 23:07:25,49,57,67,91,20,1009,63,33.616,45.31,59.9,22.6,32.1,27.2
 24-04-2024 23:07:26,50,57,75,92,20,1010,61,32.131,46.309,59.9,22.6,32.1,27.2
 24-04-2024 23:07:27,50,56,76,89,20,1010,61,30.976,41.521,59.9,22.6,32.1,27.2
 24-04-2024 23:07:28,49,56,76,88,20,1012,59,28.922,39.658,59.9,22.6,32.1,27.2
 24-04-2024 23:07:29,50,55,86,87,20,1011,61,31.078,40.968,58.9,22.6,32.1,27.2
 24-04-2024 23:07:30,49,56,85,85,20,1010,62,29.018,38.947,59.9,22.6,32.1,27.2
 24-04-2024 23:07:31,50,58,73,93,20,1011,62,28.961,37.237,59.9,22.6,32.1,27.2
 24-04-2024 23:07:32,50,58,62,94,20,1011,65,29.014,40.084,59.9,22.6,32.1,27.2
 24-04-2024 23:07:33,50,57,52,88,20,1011,65,29.897,45.276,59.9,22.6,32.1,27.2
 24-04-2024 23:07:34,50,60,57,103,20,1013,66,31.455,48.115,59.9,22.6,32.1,27.2
 24-04-2024 23:07:35,50,63,61,115,20,1009,66,31.699,49.084,59.9,22.6,32.1,27.2
 24-04-2024 23:07:36,50,59,61,108,20,1010,61,33.412,39.923,59.9,22.6,32.1,27.2
 24-04-2024 23:07:37,51,64,75,123,20,1008,62,29.568,41.43,56.9,22.6,32.1,27.2
 24-04-2024 23:07:38,51,63,73,125,20,1009,63,34.004,39.162,59.9,22.6,32.1,27.2
 24-04-2024 23:07:39,52,63,71,118,20,1010,62,29.495,42.051,59.9,22.6,32.1,27.2
 24-04-2024 23:07:40,52,67,71,138,20,1008,62,30.456,39.229,59.9,22.6,32.1,27.2
 24-04-2024 23:07:41,52,66,61,132,20,1007,63,30.041,40.499,59.9,22.6,32.1,27.2
 24-04-2024 23:07:42,52,65,70,122,20,1008,63,32.065,42.237,59.9,22.6,32.1,27.2
 24-04-2024 23:07:43,52,67,70,125,20,1008,64,32.195,43.484,59.9,22.6,32.1,27.2
 24-04-2024 23:07:44,52,58,65,88,20,1009,65,34.62,47.238,59.9,22.6,32.1,27.2
 24-04-2024 23:07:45,52,65,71,118,20,1008,66,33.179,51.791,59.9,22.6,32.1,27.2
 24-04-2024 23:07:46,52,62,80,114,20,1007,66,32.279,52.502,59.9,22.6,32.1,27.2
 24-04-2024 23:07:47,53,65,76,125,20,1006,67,33.871,50.01,59.9,22.6,32.1,27.2
 24-04-2024 23:07:48,53,66,79,133,20,1005,68,34.664,53.697,59.9,22.6,32.1,27.2
 24-04-2024 23:07:49,52,60,83,100,20,1004,63,36.168,54.633,59.9,22.6,32.1,27.2
 24-04-2024 23:07:50,52,58,79,69,20,1009,65,36.2,48.005,59.9,22.6,32.1,27.2
 24-04-2024 23:07:51,53,67,68,133,20,1008,63,32.397,44.75,59.9,22.6,32.1,27.2
 24-04-2024 23:07:52,53,69,58,135,20,1007,64,22.184,35.21,59.9,22.6,32.1,27.2
 24-04-2024 23:07:53,54,69,61,138,20,1006,63,31.295,45.097,59.9,22.6,32.1,27.2
 24-04-2024 23:07:54,54,68,63,131,20,1007,65,34.219,53.533,59.9,22.6,32.1,27.2
 24-04-2024 23:07:55,54,65,65,126,20,1009,65,33.756,51.735,59.9,22.6,32.1,27.2
 24-04-2024 23:07:56,53,67,62,122,20,1009,68,33.215,53.124,59.9,22.6,32.1,27.2
 24-04-2024 23:07:57,53,64,60,112,20,1011,65,32.154,47.398,59.9,22.6,32.1,27.2
 24-04-2024 23:07:58,53,66,76,111,20,1010,62,33.413,42.229,58.9,22.6,32.1,27.2
 24-04-2024 23:07:59,53,63,78,105,20,1010,65,30.436,40.803,59.9,22.6,32.1,27.2
 24-04-2024 23:08:00,54,63,66,103,20,1009,62,31.702,46.727,59.9,22.6,31.9,27.2
 24-04-2024 23:08:01,53,62,59,104,20,1011,62,31.193,38.375,59.9,22.6,31.9,27.2
 24-04-2024 23:08:02,54,67,58,120,20,1009,67,32.556,38.454,59.9,22.6,31.9,27.2
