 24-04-2024 18:08:43, GPU temperature     ,GPU temperature 2   ,GPU usage           ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,T outside (C ),T Exhaust (C ),T Internal (C )
 24-04-2024 18:08:43,46,52,67,103,90,3598,66,27.289,49.566,55.9,22.6,32.7,28.2
 24-04-2024 18:08:44,45,53,67,103,90,3596,66,31.109,50.349,59.9,22.6,32.7,28.2
 24-04-2024 18:08:45,45,53,74,100,90,3599,66,29.06,49.655,59.9,22.6,32.7,28.2
 24-04-2024 18:08:46,46,54,78,112,90,3596,70,28.609,50.844,55.9,22.6,32.7,28.2
 24-04-2024 18:08:47,45,54,77,103,90,3594,72,39.348,56.83,59.9,22.6,32.7,28.2
 24-04-2024 18:08:48,45,53,73,97,90,3602,63,29.161,44.327,59.9,22.6,32.7,28.2
 24-04-2024 18:08:49,46,60,61,140,90,3591,66,31.308,46.668,59.9,22.6,32.7,28.2
 24-04-2024 18:08:50,46,56,60,121,90,3588,64,29.426,40.704,59.9,22.6,32.7,28.2
 24-04-2024 18:08:51,46,61,70,146,90,3599,64,30.28,47.148,59.9,22.6,32.7,28.2
 24-04-2024 18:08:52,47,63,67,141,90,3590,64,29.115,40.654,59.9,22.6,32.7,28.2
 24-04-2024 18:08:53,47,61,61,134,90,3585,59,28.563,39.646,59.9,22.6,32.7,28.2
 24-04-2024 18:08:54,46,54,70,107,90,3584,62,27.389,37.106,59.9,22.6,32.7,28.2
 24-04-2024 18:08:55,46,61,82,131,90,3587,61,27.176,34.284,59.9,22.6,32.7,28.2
 24-04-2024 18:08:56,47,57,67,133,90,3579,59,27.806,36.949,59.9,22.6,32.7,28.2
 24-04-2024 18:08:57,47,60,48,134,90,3592,61,28.805,35.257,59.9,22.6,32.7,28.2
 24-04-2024 18:08:58,47,60,54,138,90,3581,63,28.208,34.802,59.9,22.6,32.7,28.2
 24-04-2024 18:08:59,47,63,65,136,90,3597,59,29.147,35.75,59.9,22.6,32.7,28.2
 24-04-2024 18:09:00,46,59,71,125,90,3600,60,27.306,36.435,59.9,22.6,32.7,28.2
 24-04-2024 18:09:01,48,61,76,143,90,3598,63,28.2,37.258,59.9,22.6,32.7,28.2
 24-04-2024 18:09:02,47,60,78,142,90,3583,61,27.717,35.737,59.9,22.6,32.7,28.2
 24-04-2024 18:09:03,47,58,76,138,90,3586,65,28.366,36.176,59.9,22.6,32.7,28.2
 24-04-2024 18:09:04,47,62,65,146,90,3587,64,28.729,39.995,59.9,22.6,32.7,28.2
 24-04-2024 18:09:05,48,59,69,133,90,3591,62,31.318,48.867,59.9,22.6,32.7,28.2
 24-04-2024 18:09:06,47,60,84,134,90,3588,59,29.165,40.839,59.9,22.6,32.7,28.2
 24-04-2024 18:09:07,46,58,72,116,90,3576,63,32.148,47.571,59.9,22.6,32.7,28.2
 24-04-2024 18:09:08,46,56,52,114,90,3590,73,32.793,47.846,59.9,22.6,32.7,28.2
 24-04-2024 18:09:09,46,55,62,107,90,3584,59,25.843,33.425,59.9,22.6,32.7,28.2
 24-04-2024 18:09:10,46,55,75,111,90,3583,61,26.862,34.067,59.9,22.6,32.7,28.2
 24-04-2024 18:09:11,46,53,64,109,90,3591,60,30.652,48.282,59.9,22.6,32.7,28.2
 24-04-2024 18:09:12,46,56,54,103,90,3593,58,24.648,33.071,59.9,22.6,32.7,28.2
 24-04-2024 18:09:13,45,51,60,92,90,3598,58,25.758,33.102,59.9,22.6,32.7,28.2
 24-04-2024 18:09:14,46,61,76,133,90,3605,61,26.586,34.742,59.9,22.6,32.7,28.2
 24-04-2024 18:09:15,47,60,89,136,90,3590,65,28.198,39.954,59.9,22.6,32.7,28.2
 24-04-2024 18:09:16,47,60,79,129,90,3588,62,26.687,38.62,59.9,22.6,32.7,28.2
 24-04-2024 18:09:17,47,61,73,140,90,3590,61,27.84,38.226,59.9,22.6,32.7,28.2
 24-04-2024 18:09:18,47,62,79,142,90,3589,63,27.179,38.911,59.9,22.6,32.7,28.2
 24-04-2024 18:09:19,48,64,70,146,90,3589,60,27.068,38.671,59.9,22.6,32.7,28.2
 24-04-2024 18:09:20,48,63,72,147,90,3590,64,27.783,37.54,59.9,22.6,32.7,28.2
 24-04-2024 18:09:21,47,63,81,143,90,3577,65,27.109,38.661,59.9,22.6,32.7,28.2
 24-04-2024 18:09:22,48,63,76,144,90,3585,64,27.133,37.504,59.9,22.6,32.7,28.2
 24-04-2024 18:09:23,48,63,80,146,90,3583,59,27.387,39.182,59.9,22.6,32.7,28.2
 24-04-2024 18:09:24,48,62,83,138,90,3589,61,26.652,35.662,59.9,22.6,32.7,28.2
 24-04-2024 18:09:25,47,52,70,83,90,3589,58,26.937,38.942,59.9,22.6,32.7,28.2
 24-04-2024 18:09:26,46,51,56,82,90,3593,60,19.167,27.704,59.9,22.6,32.7,28.2
 24-04-2024 18:09:27,48,63,65,151,90,3598,59,25.326,37.191,59.9,22.6,32.7,28.2
 24-04-2024 18:09:28,46,53,78,94,90,3594,61,25.722,32.608,59.9,22.6,32.7,28.2
 24-04-2024 18:09:29,46,51,64,88,90,3594,60,25.506,35.674,59.9,22.6,32.7,28.2
 24-04-2024 18:09:30,45,51,63,89,90,3597,59,24.606,33.633,59.9,22.6,32.7,28.2
 24-04-2024 18:09:31,47,54,76,101,90,3594,59,25.49,33.247,59.9,22.6,32.7,28.2
 24-04-2024 18:09:32,46,51,75,90,90,3596,59,24.338,33.018,59.9,22.6,32.7,28.2
 24-04-2024 18:09:33,45,54,74,93,90,3591,60,24.634,32.301,59.9,22.6,32.7,28.2
 24-04-2024 18:09:34,45,53,75,98,90,3584,59,24.717,35.158,59.9,22.6,32.7,28.2
 24-04-2024 18:09:35,46,52,75,92,90,3600,60,24.883,33.515,59.9,22.6,32.7,28.2
 24-04-2024 18:09:36,45,54,67,104,90,3595,61,24.494,33.42,59.9,22.6,32.7,28.2
 24-04-2024 18:09:37,45,52,58,95,90,3593,59,25.021,36.948,59.9,22.6,32.7,28.2
 24-04-2024 18:09:38,45,53,59,89,90,3586,60,22.363,32.952,58.9,22.6,32.7,28.2
 24-04-2024 18:09:39,45,53,48,97,90,3590,60,23.651,33.597,59.9,22.6,32.7,28.2
 24-04-2024 18:09:40,45,52,57,100,90,3584,59,21.474,33.083,59.9,22.6,32.7,28.2
 24-04-2024 18:09:41,45,50,67,91,90,3586,60,21.772,31.178,59.9,22.6,32.7,28.2
 24-04-2024 18:09:42,45,53,55,98,90,3589,60,22.402,31.883,59.9,22.6,32.7,28.2
 24-04-2024 18:09:43,45,54,68,104,90,3587,59,22.632,30.87,59.9,22.6,32.7,28.2
 24-04-2024 18:09:44,45,52,63,87,90,3582,59,21.056,32.092,59.9,22.6,32.7,28.2
 24-04-2024 18:09:45,45,51,47,84,90,3586,61,22.392,30.746,59.9,22.6,32.7,28.2
 24-04-2024 18:09:46,45,50,65,76,90,3605,58,22.643,31.636,59.9,22.6,32.7,28.2
 24-04-2024 18:09:47,44,52,68,101,90,3591,57,20.644,31.373,59.9,22.6,32.7,28.2
 24-04-2024 18:09:48,45,53,70,97,90,3587,58,22.481,32.338,59.9,22.6,32.7,28.2
 24-04-2024 18:09:49,44,50,68,87,90,3592,57,22.202,31.218,59.9,22.6,32.7,28.2
 24-04-2024 18:09:50,44,51,63,87,90,3592,57,21.669,32.563,59.9,22.6,32.7,28.2
 24-04-2024 18:09:51,45,52,72,91,90,3585,59,22.96,33.354,58.9,22.6,32.7,28.2
 24-04-2024 18:09:52,45,51,78,87,90,3585,58,23.557,33.266,59.9,22.6,32.7,28.2
 24-04-2024 18:09:53,44,52,76,96,90,3588,60,24.296,32.702,59.9,22.6,32.7,28.2
 24-04-2024 18:09:54,45,51,59,92,90,3580,61,24.997,34.858,59.9,22.6,32.7,28.2
 24-04-2024 18:09:55,44,50,57,87,90,3595,59,24.072,31.77,59.9,22.6,32.7,28.2
 24-04-2024 18:09:56,44,51,74,89,90,3596,58,23.66,33.615,59.9,22.6,32.7,28.2
 24-04-2024 18:09:57,44,54,74,107,90,3591,56,23.87,32.893,59.9,22.6,32.7,28.2
 24-04-2024 18:09:58,45,51,69,96,90,3588,60,24.114,33.929,59.9,22.6,32.7,28.2
 24-04-2024 18:09:59,46,57,65,123,90,3590,58,26.112,35.621,59.9,22.6,32.7,28.2
 24-04-2024 18:10:00,45,55,67,109,90,3593,60,26.65,35.97,59.9,22.6,32.5,28.3
 24-04-2024 18:10:01,46,64,76,152,90,3592,63,26.451,39.657,59.9,22.6,32.5,28.3
 24-04-2024 18:10:02,47,63,71,153,90,3584,60,26.052,35.771,59.9,22.6,32.5,28.3
 24-04-2024 18:10:03,46,54,68,112,90,3586,58,25.627,37.136,58.9,22.6,32.5,28.3
 24-04-2024 18:10:04,48,65,81,157,90,3579,60,26.813,36.31,59.9,22.6,32.5,28.3
 24-04-2024 18:10:05,47,64,90,151,90,3571,60,25.381,36.295,59.9,22.6,32.5,28.3
 24-04-2024 18:10:06,47,57,78,123,90,3591,59,26.429,36.199,59.9,22.6,32.5,28.3
 24-04-2024 18:10:07,46,53,64,90,90,3587,58,25.257,36.097,59.9,22.6,32.5,28.3
 24-04-2024 18:10:08,46,55,66,108,90,3587,57,23.136,33.213,59.9,22.6,32.5,28.3
 24-04-2024 18:10:09,45,54,78,104,90,3588,60,24.691,34.555,59.9,22.6,32.5,28.3
 24-04-2024 18:10:10,46,53,79,91,90,3595,60,29.167,37.223,59.9,22.6,32.5,28.3
 24-04-2024 18:10:11,47,64,70,159,90,3583,63,30.222,39.345,59.9,22.6,32.5,28.3
 24-04-2024 18:10:12,48,68,74,178,90,3577,61,29.5,39.886,59.9,22.6,32.5,28.3
 24-04-2024 18:10:13,48,62,81,147,90,3580,59,30.456,38.851,58.9,22.6,32.5,28.3
 24-04-2024 18:10:14,49,70,75,181,90,3574,58,30.226,39.5,59.9,22.6,32.5,28.3
 24-04-2024 18:10:15,49,70,79,174,90,3574,58,29.895,39.01,58.9,22.6,32.5,28.3
 24-04-2024 18:10:16,50,70,89,175,90,3583,66,33.801,47.122,59.9,22.6,32.5,28.3
 24-04-2024 18:10:17,49,68,93,163,90,3582,61,37.336,55.046,59.9,22.6,32.5,28.3
