 24-04-2024 15:34:08, GPU temperature     ,GPU temperature 2   ,GPU usage           ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,T outside (C ),T Exhaust (C ),T Internal (C )
 24-04-2024 15:34:09,45,52,64,78,47,2252,55,22.863,31.891,59.9,22.6,23.7,23.5
 24-04-2024 15:34:10,44,52,41,79,47,2254,56,25.658,34.184,59.9,22.6,23.7,23.5
 24-04-2024 15:34:11,45,52,53,80,47,2259,56,24.202,32.271,59.9,22.6,23.7,23.5
 24-04-2024 15:34:12,45,52,83,80,47,2255,55,24.133,31.286,59.9,22.6,23.7,23.5
 24-04-2024 15:34:13,44,52,85,77,47,2255,57,25.427,32.705,59.9,22.6,23.7,23.5
 24-04-2024 15:34:14,44,52,67,78,47,2251,58,24.261,32.156,59.9,22.6,23.7,23.5
 24-04-2024 15:34:15,44,53,62,79,47,2252,61,23.488,31.747,59.9,22.6,23.7,23.5
 24-04-2024 15:34:16,44,53,78,81,47,2256,56,25.734,32.69,59.9,22.6,23.6,23.4
 24-04-2024 15:34:17,44,53,75,83,47,2259,57,23.27,31.865,59.9,22.6,23.6,23.4
 24-04-2024 15:34:18,45,52,81,81,47,2252,56,24.706,32.909,59.9,22.6,23.6,23.4
 24-04-2024 15:34:19,44,52,88,81,47,2256,58,24.978,31.326,59.9,22.6,23.6,23.4
 24-04-2024 15:34:20,44,52,79,84,47,2258,56,24.51,32.441,59.9,22.6,23.6,23.4
 24-04-2024 15:34:21,45,52,79,78,47,2261,57,23.104,32.206,59.9,22.6,23.6,23.4
 24-04-2024 15:34:22,44,52,70,79,47,2259,56,25.678,32.318,59.9,22.6,23.6,23.4
 24-04-2024 15:34:23,45,52,67,80,47,2258,59,23.925,33.566,59.9,22.6,23.5,23.3
 24-04-2024 15:34:24,44,53,61,82,47,2258,57,24.318,31.745,59.9,22.6,23.5,23.3
 24-04-2024 15:34:25,44,52,50,76,47,2257,61,24.95,33.46,59.9,22.6,23.5,23.3
 24-04-2024 15:34:26,44,52,55,78,47,2258,57,24.472,31.308,59.9,22.6,23.5,23.3
 24-04-2024 15:34:27,45,55,62,118,47,2255,60,26.069,36.123,55.9,22.6,23.5,23.3
 24-04-2024 15:34:28,45,53,73,110,47,2249,62,28.044,46.067,59.9,22.6,23.5,23.3
 24-04-2024 15:34:29,46,54,74,111,47,2248,62,28.659,46.745,59.9,22.6,23.5,23.3
 24-04-2024 15:34:30,46,58,79,128,47,2247,58,27.749,50.309,59.9,22.6,23.4,23.2
 24-04-2024 15:34:31,46,59,82,126,48,2275,65,30.102,50.014,59.9,22.6,23.4,23.2
 24-04-2024 15:34:32,46,54,84,100,48,2303,61,26.647,44.656,59.9,22.6,23.4,23.2
 24-04-2024 15:34:33,46,53,74,95,48,2312,59,26.725,43.075,59.9,22.6,23.4,23.2
 24-04-2024 15:34:34,46,54,69,100,48,2317,62,28.271,43.459,59.9,22.6,23.4,23.2
 24-04-2024 15:34:35,46,54,88,98,48,2315,58,29.774,44.489,59.9,22.6,23.4,23.2
 24-04-2024 15:34:36,45,53,84,100,48,2314,61,27.388,41.623,59.9,22.6,23.4,23.2
 24-04-2024 15:34:37,46,54,64,102,48,2316,61,29.26,45.676,59.9,22.6,23.4,23.2
 24-04-2024 15:34:38,46,55,64,105,48,2317,65,32.475,50.664,59.9,22.6,23.4,23.2
 24-04-2024 15:34:39,46,54,78,106,48,2315,66,36.144,58.028,59.9,22.6,23.4,23.2
 24-04-2024 15:34:40,46,56,70,107,48,2318,64,28.88,41.436,59.9,22.6,23.4,23.2
 24-04-2024 15:34:41,47,59,60,112,48,2316,62,26.567,36.927,59.9,22.6,23.4,23.2
 24-04-2024 15:34:42,47,56,67,106,48,2318,56,22.076,35.702,59.9,22.6,23.4,23.2
 24-04-2024 15:34:43,46,57,79,105,48,2317,60,24.781,36.259,59.9,22.6,23.4,23.2
 24-04-2024 15:34:44,47,55,83,111,48,2312,59,28.212,40.307,59.9,22.6,23.4,23.2
 24-04-2024 15:34:45,46,55,83,104,48,2315,63,29.556,39.481,59.9,22.6,23.4,23.2
 24-04-2024 15:34:46,46,54,81,92,48,2315,61,28.126,36.102,59.9,22.6,23.4,23.2
 24-04-2024 15:34:47,46,54,72,93,48,2317,61,26.697,36.258,59.9,22.6,23.4,23.2
 24-04-2024 15:34:48,46,54,75,104,48,2318,60,27.553,36.212,59.9,22.6,23.4,23.2
 24-04-2024 15:34:49,46,54,71,102,48,2310,60,26.471,35.827,59.9,22.6,23.4,23.2
 24-04-2024 15:34:50,47,56,67,103,48,2311,56,28.498,36.683,59.9,22.6,23.4,23.2
 24-04-2024 15:34:51,47,55,71,99,48,2312,58,27.086,37.115,59.9,22.6,23.4,23.2
 24-04-2024 15:34:52,46,54,68,101,48,2313,58,27.386,37.515,59.9,22.6,23.4,23.2
 24-04-2024 15:34:53,47,56,68,109,48,2317,58,28.07,38.054,59.9,22.6,23.4,23.2
 24-04-2024 15:34:54,46,56,78,107,48,2314,56,28.106,36.267,59.9,22.6,23.4,23.2
 24-04-2024 15:34:55,47,58,82,109,48,2313,63,22.109,36.066,59.9,22.6,23.4,23.2
 24-04-2024 15:34:56,47,55,69,108,48,2317,56,21.72,35.619,59.9,22.6,23.4,23.2
 24-04-2024 15:34:57,47,55,73,104,48,2313,59,19.535,34.565,59.9,22.6,23.4,23.2
 24-04-2024 15:34:58,47,56,70,106,48,2317,61,21.274,35.164,59.9,22.6,23.4,23.2
 24-04-2024 15:34:59,47,57,55,110,48,2312,58,20.333,34.015,59.9,22.6,23.4,23.2
 24-04-2024 15:35:00,47,55,61,113,48,2313,59,22.2,34.854,59.9,22.6,25.2,24.2
 24-04-2024 15:35:01,47,59,72,135,48,2315,58,23.44,38.285,59.9,22.6,25.2,24.2
 24-04-2024 15:35:02,48,61,66,140,48,2314,63,27.181,42.288,59.9,22.6,25.2,24.2
 24-04-2024 15:35:03,48,64,70,135,48,2307,61,30.712,49.973,59.9,22.6,25.2,24.2
 24-04-2024 15:35:04,48,61,70,136,48,2310,64,29.912,45.929,59.9,22.6,25.2,24.2
 24-04-2024 15:35:05,48,61,63,129,48,2305,65,31.203,52.678,59.9,22.6,25.2,24.2
 24-04-2024 15:35:06,48,61,63,138,49,2317,65,35.378,55.389,59.9,22.6,25.2,24.2
 24-04-2024 15:35:07,48,62,69,123,49,2330,63,26.745,42.71,59.9,22.6,25.2,24.2
 24-04-2024 15:35:08,48,62,69,127,49,2340,63,27.734,42.42,59.9,22.6,25.2,24.2
 24-04-2024 15:35:09,48,62,58,131,49,2339,60,26.516,42.044,59.9,22.6,25.2,24.2
 24-04-2024 15:35:10,48,60,71,124,49,2341,59,26.359,42.911,58.9,22.6,25.2,24.2
 24-04-2024 15:35:11,49,61,86,140,49,2347,65,30.476,48.279,59.9,22.6,25.2,24.2
 24-04-2024 15:35:12,49,60,85,129,49,2345,60,27.61,46.821,59.9,22.6,25.2,24.2
 24-04-2024 15:35:13,49,65,83,148,49,2341,66,30.283,48.25,59.9,22.6,25.2,24.2
 24-04-2024 15:35:14,49,59,90,126,49,2343,63,26.972,45.409,59.9,22.6,25.2,24.2
 24-04-2024 15:35:15,49,58,81,121,49,2342,61,27.375,41.015,59.9,22.6,25.2,24.2
 24-04-2024 15:35:16,49,58,70,116,49,2343,62,28.114,42.521,59.9,22.6,25.2,24.2
 24-04-2024 15:35:17,48,59,75,119,49,2346,62,26.781,42.797,59.9,22.6,25.2,24.2
 24-04-2024 15:35:18,49,57,77,127,49,2342,61,27.764,43.361,59.9,22.6,25.2,24.2
 24-04-2024 15:35:19,49,63,86,141,49,2345,63,26.526,40.734,59.9,22.6,25.2,24.2
 24-04-2024 15:35:20,49,62,89,136,49,2342,61,28.294,41.45,59.9,22.6,25.6,24.4
 24-04-2024 15:35:21,49,64,82,144,49,2347,62,27.092,41.852,58.9,22.6,25.6,24.4
 24-04-2024 15:35:22,49,63,82,140,49,2348,61,28.757,39.492,59.9,22.6,25.6,24.4
 24-04-2024 15:35:23,50,65,73,147,49,2345,62,26.752,38.309,59.9,22.6,25.6,24.4
 24-04-2024 15:35:24,50,64,74,144,49,2340,67,28.417,39.564,59.9,22.6,25.6,24.4
 24-04-2024 15:35:25,49,57,84,103,49,2342,66,28.078,41.338,59.9,22.6,25.6,24.4
 24-04-2024 15:35:26,48,56,82,90,49,2348,57,22.733,34.424,59.9,22.6,25.6,24.4
 24-04-2024 15:35:27,48,57,81,99,49,2347,59,20.55,31.978,59.9,22.6,25.6,24.4
 24-04-2024 15:35:28,49,60,82,120,49,2345,61,27.548,39.718,59.9,22.6,25.6,24.4
 24-04-2024 15:35:29,48,56,62,91,49,2348,60,25.904,33.954,59.9,22.6,25.6,24.4
 24-04-2024 15:35:30,48,56,61,92,49,2350,61,24.405,35.377,59.9,22.6,25.6,24.4
 24-04-2024 15:35:31,48,60,73,135,49,2351,62,26.139,36.95,59.9,22.6,25.6,24.4
 24-04-2024 15:35:32,48,55,58,84,49,2348,61,26.572,34.919,59.9,22.6,25.6,24.4
 24-04-2024 15:35:33,48,55,66,82,49,2349,61,23.302,33.322,59.9,22.6,25.6,24.4
 24-04-2024 15:35:34,47,55,65,88,49,2352,57,25.382,33.722,59.9,22.6,25.6,24.4
 24-04-2024 15:35:35,47,56,55,89,49,2350,58,24.187,33.201,59.9,22.6,25.6,24.4
 24-04-2024 15:35:36,47,55,72,97,48,2334,60,25.204,34.268,59.9,22.6,25.6,24.4
 24-04-2024 15:35:37,47,56,78,96,48,2319,64,22.878,36.995,59.8,22.6,25.6,24.4
 24-04-2024 15:35:38,48,55,70,103,48,2316,57,23.406,34.753,59.9,22.6,25.6,24.4
 24-04-2024 15:35:39,47,56,75,96,48,2319,58,22.489,31.899,59.9,22.6,25.6,24.4
 24-04-2024 15:35:40,47,55,69,90,48,2312,58,21.373,33.444,59.9,22.6,26,24.8
 24-04-2024 15:35:41,47,55,68,88,48,2319,59,21.67,32.523,59.9,22.6,26,24.8
 24-04-2024 15:35:42,48,57,59,106,48,2321,58,23.5,34.112,59.9,22.6,26,24.8
 24-04-2024 15:35:43,47,56,49,101,48,2319,59,21.434,33.63,59.9,22.6,26,24.8
 24-04-2024 15:35:44,48,55,69,89,48,2314,57,22.698,34.295,58.9,22.6,26,24.8
 24-04-2024 15:35:45,47,55,82,84,48,2317,63,20.871,33.021,59.9,22.6,26,24.8
 24-04-2024 15:35:46,47,55,81,80,48,2319,60,22.191,33.687,58.9,22.6,26,24.8
 24-04-2024 15:35:47,47,56,68,104,48,2323,61,22.011,32.251,59.9,22.6,26,24.8
 24-04-2024 15:35:48,47,55,71,95,48,2316,59,22.258,34.181,59.9,22.6,26,24.8
 24-04-2024 15:35:49,47,55,80,90,48,2320,60,21.461,32.592,59.8,22.6,26,24.8
 24-04-2024 15:35:50,46,54,82,88,48,2319,58,23.298,33.822,59.9,22.6,26,24.8
 24-04-2024 15:35:51,47,55,74,95,48,2320,59,22.301,33.13,59.9,22.6,26,24.8
 24-04-2024 15:35:52,47,55,68,91,48,2323,58,22.942,34.465,59.9,22.6,26,24.8
 24-04-2024 15:35:53,47,54,75,90,48,2322,60,24.457,34.422,59.9,22.6,26,24.8
 24-04-2024 15:35:54,47,55,76,87,48,2321,57,24.322,34.38,59.9,22.6,26,24.8
 24-04-2024 15:35:55,47,55,77,94,48,2321,61,22.522,34.422,59.9,22.6,26,24.8
 24-04-2024 15:35:56,47,55,75,90,48,2320,59,23.603,33.812,59.9,22.6,26,24.8
 24-04-2024 15:35:57,47,54,65,90,48,2323,63,23.665,34.14,59.9,22.6,26,24.8
 24-04-2024 15:35:58,47,59,74,126,48,2322,60,26.315,36.393,59.9,22.6,26,24.8
 24-04-2024 15:35:59,48,61,71,133,48,2316,57,23.92,36.045,59.9,22.6,26,24.8
 24-04-2024 15:36:00,48,64,75,144,48,2309,61,27.2,39.323,59.9,22.6,26.3,24.8
 24-04-2024 15:36:01,48,65,74,157,49,2326,65,24.914,37.496,59.9,22.6,26.3,24.8
 24-04-2024 15:36:02,49,66,69,151,49,2339,64,26.444,37.985,59.9,22.6,26.3,24.8
 24-04-2024 15:36:03,49,66,87,157,49,2343,64,24.628,38.184,59.9,22.6,26.3,24.8
 24-04-2024 15:36:04,49,67,80,158,49,2338,63,26.339,37.185,59.9,22.6,26.3,24.8
 24-04-2024 15:36:05,50,65,69,146,49,2342,62,25.295,36.624,59.9,22.6,26.3,24.8
 24-04-2024 15:36:06,49,58,60,113,50,2357,61,27.331,38.867,59.9,22.6,26.3,24.8
 24-04-2024 15:36:07,48,55,69,93,50,2376,66,24.563,37.047,58.9,22.6,26.3,24.8
 24-04-2024 15:36:08,48,56,81,94,50,2380,63,22.758,35.022,59.9,22.6,26.3,24.8
 24-04-2024 15:36:09,48,55,68,87,50,2382,64,26.702,37.094,59.9,22.6,26.3,24.8
 24-04-2024 15:36:10,48,57,70,102,50,2381,61,29.255,39.384,59.9,22.6,26.3,24.8
 24-04-2024 15:36:11,49,66,82,159,49,2362,61,28.486,38.828,59.9,22.6,26.3,24.8
 24-04-2024 15:36:12,49,65,76,150,49,2341,58,29.739,37.134,59.9,22.6,26.3,24.8
 24-04-2024 15:36:13,50,69,71,158,49,2338,62,29.198,39.211,58.9,22.6,26.3,24.8
 24-04-2024 15:36:14,50,60,76,117,49,2340,61,29.76,42.061,59.9,22.6,26.3,24.8
 24-04-2024 15:36:15,49,59,66,115,49,2346,60,28.566,38.255,59.9,22.6,26.3,24.8
