 27-04-2024 22:14:24, GPU temperature     ,GPU usage           ,Memory usage        ,Power percent       ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 22:16:00,70,96,5848.523,71,99.928,0,0,100,93.168,17.536,57.2,20.8,24,25.1
 27-04-2024 22:16:01,69,89,5844.398,63,98.329,0,0,99,95.258,17.471,52.4,20.8,24,25.1
 27-04-2024 22:16:02,69,90,5843.961,64,95.712,0,0,100,92.119,17.94,56.5,20.8,24,25.1
 27-04-2024 22:16:03,70,90,5851.336,68,102.167,0,0,100,91.16,18.567,58,20.8,24,25.1
 27-04-2024 22:16:04,70,97,5851.336,67,102.808,0,0,100,91.166,17.83,58,20.8,24,25.1
 27-04-2024 22:16:05,70,96,5851.336,64,85.994,0,0,100,93.092,18.46,56.6,20.8,24,25.1
 27-04-2024 22:16:06,71,97,5851.336,68,105.24,0,0,100,91.646,18.86,56.9,20.8,24,25.1
 27-04-2024 22:16:07,71,94,5845.273,64,85.975,0,0,100,93.757,18.025,55.6,20.8,24,25.1
 27-04-2024 22:16:08,71,88,5843.961,69,101.865,0,0,100,93.348,17.776,54.6,20.8,24,25.1
 27-04-2024 22:16:09,71,89,5849.586,50,86.496,0,0,100,96.926,18.475,54.3,20.8,24,25.1
 27-04-2024 22:16:10,71,89,5847.586,57,88.25,0,0,99,100,18.257,54.5,20.8,24,25.1
 27-04-2024 22:16:11,70,70,5843.934,49,70.255,0,0,100,100,18.343,44.2,20.8,24,25.1
 27-04-2024 22:16:12,69,67,5782.98,33,38.027,0,0,100,100,18.217,45.3,20.8,24,25.1
 27-04-2024 22:16:13,69,57,5826.77,46,88.083,0,0,100,100,18.397,38.4,20.8,24,25.1
 27-04-2024 22:16:14,70,73,5764.504,57,93.548,0,0,100,100,18.098,41.6,20.8,24,25.1
 27-04-2024 22:16:15,71,83,5778.242,61,87.592,0,0,100,100,17.637,45.5,20.8,24,25.1
 27-04-2024 22:16:16,71,90,5776.316,63,92.957,0,0,100,100,17.346,50.5,20.8,24,25.1
 27-04-2024 22:16:17,72,93,5775.148,59,62.759,0,0,100,100,17.449,53.2,20.8,24,25.1
 27-04-2024 22:16:18,73,91,5775.148,62,98.333,0,0,100,100,17.969,57,20.8,24,25.1
 27-04-2024 22:16:19,73,90,5775.148,60,96.775,0,0,100,100,17.748,57,20.8,24,25.1
 27-04-2024 22:16:20,73,81,5780.703,50,98.636,0,0,100,100,17.949,57,20.8,24,25.1
 27-04-2024 22:16:21,73,98,5765.273,68,100.395,0,0,100,100,18.213,56.6,20.8,24,25.1
 27-04-2024 22:16:22,74,100,5765.273,70,102.467,0,0,100,100,18.839,58.4,20.8,24,25.1
 27-04-2024 22:16:23,74,98,5765.273,68,100.255,0,0,100,100,18.784,56,20.8,24,25.1
 27-04-2024 22:16:24,70,56,5791.262,26,38.65,0,0,100,100,19.132,45.3,20.8,24,25.1
 27-04-2024 22:16:25,74,100,5753.512,69,84.701,0,0,100,100,18.943,34.9,20.8,24,25.1
 27-04-2024 22:16:26,75,99,5748.512,69,107.05,0,0,100,100,18.651,57,20.8,24,25.1
 27-04-2024 22:16:27,74,90,5749.199,63,101.526,0,0,100,99.981,18.369,54.9,20.8,24,25.1
 27-04-2024 22:16:28,75,95,5748.199,66,91.464,0,0,100,100,18.856,54.2,20.8,24,25.1
 27-04-2024 22:16:29,75,100,5748.199,69,100.24,0,0,100,87.687,18.289,55.9,20.8,24,25.1
