 24-04-2024 21:37:00, GPU temperature     ,GPU temperature 2   ,GPU usage           ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,T outside (C ),T Exhaust (C ),T Internal (C )
 24-04-2024 21:40:00,54,66,77,125,20,1011,61,30.399,44.184,59.9,22.6,31.4,26.7
 24-04-2024 21:40:01,53,63,82,119,20,1010,63,28.054,48.015,59.9,22.6,31.4,26.7
 24-04-2024 21:40:02,54,64,94,118,20,1006,60,30.064,46.053,59.9,22.6,31.4,26.7
 24-04-2024 21:40:03,54,64,74,122,20,1008,64,29.434,47.631,59.9,22.6,31.4,26.7
 24-04-2024 21:40:04,54,69,64,133,20,1010,62,31.125,48.218,59.9,22.6,31.4,26.7
 24-04-2024 21:40:05,54,65,81,124,20,1009,66,31.04,48.636,59.9,22.6,31.4,26.7
 24-04-2024 21:40:06,54,67,75,126,20,1008,66,31.221,46.896,58.9,22.6,31.4,26.7
 24-04-2024 21:40:07,54,65,71,119,20,1008,65,31.744,46.537,56.9,22.6,31.4,26.7
 24-04-2024 21:40:08,54,66,81,124,20,1008,63,30.422,47.597,59.9,22.6,31.4,26.7
 24-04-2024 21:40:09,54,65,82,121,20,1007,65,30.37,46.419,58.8,22.6,31.4,26.7
 24-04-2024 21:40:10,54,64,88,106,20,1009,65,32.602,44.307,59.9,22.6,31.4,26.7
 24-04-2024 21:40:11,54,62,74,102,20,1009,66,31.541,47.314,58.9,22.6,31.4,26.7
 24-04-2024 21:40:12,54,64,55,108,20,1007,62,35.371,51.8,58.9,22.6,31.4,26.7
 24-04-2024 21:40:13,54,65,58,115,20,1009,63,34.126,51.212,59.9,22.6,31.4,26.7
 24-04-2024 21:40:14,54,62,76,105,20,1009,63,34.054,48.029,59.9,22.6,31.4,26.7
 24-04-2024 21:40:15,54,64,86,111,20,1010,63,31.897,45.631,59.9,22.6,31.4,26.7
 24-04-2024 21:40:16,54,63,84,108,20,1012,63,32.693,44.971,59.9,22.6,31.4,26.7
 24-04-2024 21:40:17,54,63,76,102,20,1012,64,30.602,42.843,59.9,22.6,31.4,26.7
 24-04-2024 21:40:18,55,65,64,109,20,1012,65,29.446,39.583,59.9,22.6,31.4,26.7
