 28-04-2024 00:00:26, GPU temperature     ,GPU usage           ,Memory usage        ,Power percent       ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 28-04-2024 00:00:27,79,67,3548.715,52,90.624,100,2427,100,100,17.889,49.7,20.8,25.1,25.5
 28-04-2024 00:00:28,78,66,3547.402,47,90.97,100,2424,100,100,18.674,46.8,20.8,25.1,25.5
 28-04-2024 00:00:28,79,86,3547.402,61,80.559,100,2440,100,100,18.432,50.1,20.8,25.1,25.5
 28-04-2024 00:00:29,79,82,3547.402,61,102.991,100,2447,100,91.399,17.712,59,20.8,25.1,25.5
 28-04-2024 00:00:30,75,57,3547.402,33,40.79,100,2443,100,92.086,17.315,58.7,20.8,25.1,25.5
 28-04-2024 00:00:31,77,85,3547.402,61,104.686,100,2457,100,91.317,17.382,41.6,20.8,25.1,25.5
 28-04-2024 00:00:32,77,80,3547.402,62,103.774,100,2460,100,97.399,17.488,58.9,20.8,25.1,25.5
 28-04-2024 00:00:33,76,82,3547.402,59,102.921,100,2460,100,88.732,17.437,58,20.8,25.1,25.5
 28-04-2024 00:00:34,76,83,3547.402,62,92.302,100,2463,100,92.405,17.571,59,20.8,25.1,25.5
 28-04-2024 00:00:35,75,82,3547.402,61,104.391,100,2470,100,97.346,17.315,60,20.8,25.1,25.5
 28-04-2024 00:00:36,72,74,3547.402,62,101.091,100,2484,100,97.908,17.651,58.9,20.8,25.1,25.5
 28-04-2024 00:00:37,74,81,3547.402,63,97.888,100,2487,100,98.452,17.3,57,20.8,25.1,25.5
 28-04-2024 00:00:38,74,83,3547.402,62,97.818,100,2487,100,95.842,17.622,60,20.8,25.1,25.5
 28-04-2024 00:00:39,73,83,3547.402,60,99.378,100,2491,100,97.289,17.383,60,20.8,25.1,25.5
 28-04-2024 00:00:40,72,65,3554.688,52,83.695,100,2488,100,97.939,17.492,56.9,20.8,25.1,25.5
 28-04-2024 00:00:41,71,79,3553.313,60,80.081,100,2484,100,98.154,18.081,51.9,20.8,25.1,25.5
 28-04-2024 00:00:42,70,70,3553.313,54,101.19,100,2481,100,97.478,17.314,52.1,20.8,25.1,25.5
 28-04-2024 00:00:43,70,77,3553.313,55,99.179,100,2474,100,96.96,17.832,50.4,20.8,25.1,25.5
 28-04-2024 00:00:44,70,74,3553.313,53,89.407,100,2477,100,96.979,17.862,53.5,20.8,25.1,25.5
 28-04-2024 00:00:45,70,79,3553.313,52,84.174,100,2485,100,91.646,17.837,54.5,20.8,25.1,25.5
 28-04-2024 00:00:46,70,82,3553.313,62,91.51,100,2491,100,86.288,17.693,59.5,20.8,25.1,25.5
 28-04-2024 00:00:47,69,72,3553.313,59,103.069,100,2481,100,85.689,17.111,57,20.8,25.1,25.5
 28-04-2024 00:00:48,67,68,3553.313,49,88.195,100,2478,100,81.927,17.148,51.4,20.8,25.1,25.5
 28-04-2024 00:00:49,67,81,3553.313,56,93.813,100,2488,100,82.174,17.282,50.7,20.8,25.1,25.5
 28-04-2024 00:00:50,68,83,3553.313,60,95.281,100,2471,100,88.337,17.088,57.8,20.8,25.1,25.5
 28-04-2024 00:00:51,68,80,3553.313,57,95.608,100,2464,100,88.254,17.376,57.2,20.8,25.1,25.5
 28-04-2024 00:00:52,67,79,3553.313,58,97.027,100,2468,99,88.033,17.651,59,20.8,25.1,25.5
 28-04-2024 00:00:53,67,84,3553.313,58,99.553,100,2475,100,83.377,16.984,59.9,20.8,25.1,25.5
 28-04-2024 00:00:54,66,85,3553.313,60,91.189,100,2468,99,80.898,17.178,59.9,20.8,25.1,25.5
 28-04-2024 00:00:55,66,84,3553.313,60,94.587,100,2472,100,81.049,17.477,59.9,20.8,25.1,25.5
 28-04-2024 00:00:56,66,84,3553.313,61,90.616,100,2472,100,79.79,17.2,59.9,20.8,25.1,25.5
 28-04-2024 00:00:57,66,85,3553.313,61,99.894,100,2465,100,84.235,16.418,59.9,20.8,25.1,25.5
 28-04-2024 00:00:58,65,83,3553.313,59,102.137,100,2476,100,81.603,17.025,59.9,20.8,25.1,25.5
 28-04-2024 00:00:59,65,88,3553.313,60,100.734,100,2469,99,84.336,17.368,59.9,20.8,25.1,25.5
 28-04-2024 00:01:00,65,85,3553.313,59,101.294,100,2469,100,82.855,17.483,59.9,20.8,25.4,26.1
 28-04-2024 00:01:01,65,88,3553.313,59,99.295,100,2459,100,85.097,16.99,60,20.8,25.4,26.1
 28-04-2024 00:01:02,65,86,3553.313,61,98.423,100,2462,100,81.927,16.948,59.9,20.8,25.4,26.1
 28-04-2024 00:01:03,64,86,3553.313,62,93.664,100,2469,100,81.02,17.337,59.9,20.8,25.4,26.1
 28-04-2024 00:01:04,64,87,3553.313,62,93.329,100,2466,100,81.79,17.362,59.9,20.8,25.4,26.1
 28-04-2024 00:01:05,64,85,3553.313,60,100.374,100,2476,100,85.755,18.281,59,20.8,25.4,26.1
 28-04-2024 00:01:06,63,80,3553.313,62,97.563,100,2470,100,88.377,17.325,57.9,20.8,25.4,26.1
 28-04-2024 00:01:07,63,81,3553.313,62,98.065,100,2473,100,88.21,16.743,57,20.8,25.4,26.1
 28-04-2024 00:01:08,63,73,3553.313,59,102.586,100,2477,100,88.534,16.9,56,20.8,25.4,26.1
 28-04-2024 00:01:09,61,60,3555,41,54.935,100,2470,100,76.565,17.15,39.5,20.8,25.4,26.1
 28-04-2024 00:01:10,60,59,3614.016,48,80.457,100,2473,100,98.887,16.784,35.5,20.8,25.4,26.1
 28-04-2024 00:01:11,61,67,3619.953,58,92.85,100,2463,100,85.041,16.87,48.3,20.8,25.4,26.1
 28-04-2024 00:01:12,60,47,3617.891,41,82.545,100,2470,100,88.842,16.526,45.8,20.8,25.4,26.1
 28-04-2024 00:01:13,60,55,3615.016,46,87.196,100,2470,100,86.868,16.591,41.7,20.8,25.4,26.1
 28-04-2024 00:01:14,60,68,3638.82,46,71.172,100,2464,100,87.719,17.414,46.9,20.8,25.4,26.1
 28-04-2024 00:01:15,61,79,3653.508,45,78.166,100,2471,100,92.909,16.923,50.9,20.8,25.4,26.1
 28-04-2024 00:01:16,61,81,3644.039,56,71.388,100,2467,100,90.54,16.633,50.5,20.8,25.4,26.1
 28-04-2024 00:01:17,61,80,3625.852,50,79.679,100,2471,100,93.514,16.966,49.4,20.8,25.4,26.1
 28-04-2024 00:01:18,61,75,3625.852,55,88.048,100,2461,100,91.815,16.439,52.2,20.8,25.4,26.1
 28-04-2024 00:01:19,61,85,3641.539,59,103.156,100,2468,100,85.595,16.757,44.5,20.8,25.4,26.1
 28-04-2024 00:01:20,61,89,3642.762,64,92.671,100,2468,100,89.849,17.34,49.3,20.8,25.4,26.1
 28-04-2024 00:01:21,61,93,3630.574,65,112.216,100,2464,100,93.358,17.73,52.4,20.8,25.4,26.1
 28-04-2024 00:01:22,61,90,3656.918,64,100.388,100,2464,100,91.853,17.37,55.4,20.8,25.4,26.1
 28-04-2024 00:01:23,58,65,3668.645,44,94.891,100,2461,100,96.042,17.515,43.5,20.8,25.4,26.1
 28-04-2024 00:01:24,59,68,3638.949,51,91.186,100,2471,100,91.82,17.673,41.2,20.8,25.4,26.1
 28-04-2024 00:01:25,59,70,3615.652,40,88.077,100,2468,100,94.892,17.223,43.4,20.8,25.4,26.1
 28-04-2024 00:01:26,60,85,3579.133,59,98.57,100,2465,100,95.706,17.511,43.9,20.8,25.4,26.1
 28-04-2024 00:01:27,59,64,3586.539,55,90.884,100,2461,100,92.047,17.135,48.5,20.8,25.4,26.1
