 27-04-2024 23:32:53, GPU temperature     ,GPU usage           ,Memory usage        ,Power percent       ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 23:37:00,51,87,3540.016,63,98.533,51,1237,100,85.041,19.335,59.2,20.8,25.1,25.9
 27-04-2024 23:37:01,52,89,3540.016,62,98.551,51,1244,100,82.227,18.81,59.9,20.8,25.1,25.9
 27-04-2024 23:37:02,52,89,3540.016,72,97.879,51,1254,100,78.064,18.778,60,20.8,25.1,25.9
 27-04-2024 23:37:03,52,91,3540.016,66,97.112,52,1262,100,82.042,19.567,60,20.8,25.1,25.9
 27-04-2024 23:37:04,48,35,3554.832,45,91.319,52,1271,100,95.017,20.069,43.9,20.8,25.1,25.9
 27-04-2024 23:37:05,51,83,3536.09,72,106.594,52,1271,100,92.012,20.09,57,20.8,25.1,25.9
 27-04-2024 23:37:06,52,91,3479.504,66,82.601,52,1286,100,98.568,20.122,56.3,20.8,25.1,25.9
 27-04-2024 23:37:07,52,91,3479.504,62,103.276,52,1291,100,100,20.106,57.2,20.8,25.1,25.9
 27-04-2024 23:37:08,52,90,3481.367,67,102.951,51,1293,100,100,20.178,50.3,20.8,25.1,25.9
 27-04-2024 23:37:09,52,88,3481.082,67,97.176,51,1294,100,100,19.013,52.1,20.8,25.1,25.9
 27-04-2024 23:37:10,52,90,3463.27,60,99.323,51,1282,100,99.991,19.799,59,20.8,25.1,25.9
 27-04-2024 23:37:11,51,61,3461.145,67,107.877,51,1273,100,100,19.713,57.9,20.8,25.1,25.9
 27-04-2024 23:37:12,53,98,3478.434,68,96.983,51,1271,100,100,20.046,55.9,20.8,25.1,25.9
 27-04-2024 23:37:13,51,72,3488.902,63,106.082,53,1271,100,100,19.391,50.9,20.8,25.1,25.9
 27-04-2024 23:37:14,50,71,3461.875,67,99.183,53,1285,100,99.997,19.549,46.2,20.8,25.1,25.9
 27-04-2024 23:37:15,52,83,3461.875,55,95.6,53,1290,100,100,19.426,59,20.8,25.1,25.9
 27-04-2024 23:37:16,52,90,3521.078,57,104.422,53,1302,99,100,19.267,51.7,20.8,25.1,25.9
 27-04-2024 23:37:17,49,46,3510.676,25,35.341,53,1312,100,100,19.652,48.3,20.8,25.1,25.9
 27-04-2024 23:37:18,51,88,3509.516,62,83.762,48,1314,100,100,19.691,22.6,20.8,25.1,25.9
 27-04-2024 23:37:19,45,0,3512.07,25,64.497,48,1298,99,100,19.565,18.9,20.8,25.1,25.9
 27-04-2024 23:37:20,53,100,3497.816,69,102.631,48,1271,100,100,19.92,30.9,20.8,25.1,25.9
 27-04-2024 23:37:21,51,58,3517.441,55,79.297,48,1251,100,100,19.184,47.6,20.8,25.1,25.9
 27-04-2024 23:37:22,53,95,3497.43,64,69.508,48,1236,100,100,18.889,54.8,20.8,25.1,25.9
 27-04-2024 23:37:23,53,94,3497.43,65,63.062,52,1221,100,100,18.184,57,20.8,25.1,25.9
 27-04-2024 23:37:24,53,95,3508.242,67,94.913,52,1222,100,99.992,18.756,59.9,20.8,25.1,25.9
 27-04-2024 23:37:25,50,67,3509.512,26,77.559,52,1238,100,100,19.231,53.4,20.8,25.1,25.9
 27-04-2024 23:37:26,52,99,3509.512,57,101.853,52,1253,100,100,19.829,57.5,20.8,25.1,25.9
 27-04-2024 23:37:27,51,87,3518.957,49,96.464,52,1268,100,88.435,18.989,40.4,20.8,25.1,25.9
 27-04-2024 23:37:28,52,79,3536.645,70,99.851,53,1273,100,99.994,19.627,52.9,20.8,25.1,25.9
 27-04-2024 23:37:29,50,28,3536.645,68,101.571,53,1287,100,100,19.522,40.3,20.8,25.1,25.9
 27-04-2024 23:37:30,52,99,3548.262,62,88.327,53,1295,100,100,19.257,44.2,20.8,25.1,25.9
 27-04-2024 23:37:31,53,86,3517.508,58,96.4,53,1310,100,100,19.137,59,20.8,25.1,25.9
 27-04-2024 23:37:32,54,100,3520.133,70,101.847,53,1309,100,100,19.352,57.9,20.8,25.1,25.9
 27-04-2024 23:37:33,54,91,3519.758,66,104.309,54,1312,100,99.977,18.376,54.1,20.8,25.1,25.9
 27-04-2024 23:37:34,54,100,3519.758,69,99.401,54,1317,100,100,19.083,49.1,20.8,25.1,25.9
 27-04-2024 23:37:35,51,89,3519.758,25,35.236,54,1326,100,100,19.255,51.1,20.8,25.1,25.9
 27-04-2024 23:37:36,53,100,3529.977,67,98.887,54,1332,100,100,18.844,33.1,20.8,25.1,25.9
 27-04-2024 23:37:37,54,100,3531.289,74,102.194,54,1339,99,99.986,19.939,40.3,20.8,25.1,25.9
 27-04-2024 23:37:38,55,95,3504.758,71,106.279,54,1340,100,100,19.842,54.1,20.8,25.1,25.9
 27-04-2024 23:37:39,55,100,3504.758,71,105.646,54,1339,100,99.997,20.068,60,20.8,25.1,25.9
 27-04-2024 23:37:40,55,100,3504.758,70,104.322,54,1333,100,100,19.417,58.9,20.8,25.1,25.9
 27-04-2024 23:37:41,54,93,3504.758,65,101.689,54,1334,100,100,19.289,60,20.8,25.1,25.9
 27-04-2024 23:37:42,55,98,3521.633,71,100.922,54,1333,100,100,19.256,59.9,20.8,25.1,25.9
