 27-04-2024 21:53:57, GPU temperature     ,GPU usage (%)          ,Memory usage  (%)    ,Power percent  (%)   ,Power (W)     ,Fan speed (%)       ,Fan tachometer(RPM)   ,CPU temperature  (C )   ,CPU usage (%)        ,CPU power (W)         ,Framerate (FPS)         ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 22:03:51,54,83,5838.199,57,94.865,53,1315,100,83.859,17.545,59.9,20.8,22.8,23.2
 27-04-2024 22:03:52,54,90,5832.949,63,86.071,53,1321,100,72.898,17.243,59.9,20.8,22.8,23.2
 27-04-2024 22:03:53,54,93,5830.359,68,99.127,53,1322,100,78.132,17.25,59.9,20.8,22.8,23.2
 27-04-2024 22:03:54,55,97,5830.371,67,103.311,53,1319,100,83.376,16.882,59.9,20.8,22.8,23.2
 27-04-2024 22:03:55,55,96,5823.285,73,108.849,53,1318,100,100,16.821,59,20.8,22.8,23.2
 27-04-2024 22:03:56,55,100,5827.926,77,108.84,53,1321,100,100,17.69,46.9,20.8,22.8,23.2
 27-04-2024 22:03:57,56,100,5828.551,78,111.1,53,1317,100,100,17.515,57,20.8,22.8,23.2
 27-04-2024 22:03:58,55,94,5828.551,62,105.232,53,1317,100,100,17.12,54.1,20.8,22.8,23.2
 27-04-2024 22:03:59,56,91,5828.551,68,111.137,54,1316,100,99.997,16.981,52.1,20.8,22.8,23.2
 27-04-2024 22:04:00,56,98,5828.551,72,102.576,54,1320,100,100,17.491,58,20.8,22.9,23.3
 27-04-2024 22:04:01,56,96,5828.551,71,104.348,54,1325,100,100,17.715,60,20.8,22.9,23.3
 27-04-2024 22:04:02,55,80,5830.598,60,80.605,54,1331,100,100,17.742,55,20.8,22.9,23.3
 27-04-2024 22:04:03,55,81,5830.598,59,93.529,54,1345,100,100,17.505,59.9,20.8,22.9,23.3
 27-04-2024 22:04:04,52,45,5821.441,28,37.506,54,1348,100,100,17.964,47.7,20.8,22.9,23.3
 27-04-2024 22:04:05,53,67,5838.191,68,103.581,54,1357,100,100,17.78,48.7,20.8,22.9,23.3
 27-04-2024 22:04:06,54,89,5838.215,35,46.858,54,1345,100,99.989,17.148,41.9,20.8,22.9,23.3
 27-04-2024 22:04:07,51,45,5811.918,26,35.677,54,1340,100,100,16,45.2,20.8,22.9,23.3
 27-04-2024 22:04:08,55,99,5812.199,72,110.113,54,1345,100,100,17.678,49,20.8,22.9,23.3
 27-04-2024 22:04:09,56,100,5812.887,70,102.628,54,1347,100,99.986,17.226,51.1,20.8,22.9,23.3
 27-04-2024 22:04:10,54,99,5824.23,69,100.928,54,1341,100,100,17.688,41.3,20.8,22.9,23.3
 27-04-2024 22:04:11,48,0,5822.465,25,34.837,54,1351,99,100,17.98,48.3,20.8,22.9,23.3
 27-04-2024 22:04:12,54,100,5826.09,72,103.686,54,1341,100,99.993,17.731,21.5,20.8,22.9,23.3
 27-04-2024 22:04:13,55,100,5826.84,71,102.432,54,1342,100,100,17.307,53.9,20.8,22.9,23.3
 27-04-2024 22:04:14,55,100,5817.371,70,102.908,54,1346,99,100,17.302,52.1,20.8,22.9,23.3
 27-04-2024 22:04:15,53,79,5817.371,65,100.534,54,1352,100,100,17.633,26.5,20.8,22.9,23.3
 27-04-2024 22:04:16,55,92,5819.371,63,105.076,54,1342,100,100,17.501,55.9,20.8,22.9,23.3
 27-04-2024 22:04:17,54,88,5819.371,67,98.887,54,1347,100,100,17.136,58.7,20.8,22.9,23.3
 27-04-2024 22:04:18,55,85,5819.371,59,86.825,54,1345,100,99.98,17.514,58.3,20.8,22.9,23.3
 27-04-2024 22:04:19,55,87,5818.871,61,97.256,54,1343,100,93.5,17.075,60,20.8,22.9,23.3
 27-04-2024 22:04:20,55,64,5828.582,67,93.258,54,1339,100,85.051,17.136,51.9,20.8,22.9,23.3
 27-04-2024 22:04:21,49,53,5832.117,26,35.166,54,1349,100,100,17.832,21.7,20.8,22.9,23.3
 27-04-2024 22:04:22,52,100,5833.102,51,106.345,54,1353,100,100,17.822,13.9,20.8,22.9,23.3
 27-04-2024 22:04:23,52,58,5857.75,65,107.766,54,1349,100,99.998,17.573,11.9,20.8,22.9,23.3
 27-04-2024 22:04:24,53,76,5793.797,56,87.039,51,1339,100,100,17.357,34.6,20.8,22.9,23.3
 27-04-2024 22:04:25,54,93,5819.742,65,102.325,51,1325,100,100,18.055,43.6,20.8,22.9,23.3
 27-04-2024 22:04:26,55,91,5819.742,71,105.401,51,1307,100,100,17.05,54.8,20.8,22.9,23.3
 27-04-2024 22:04:27,54,80,5824.992,68,104.941,51,1297,100,100,17.328,53.9,20.8,22.9,23.3
 27-04-2024 22:04:28,54,84,5819.957,47,82.196,51,1288,100,100,17.48,53.4,20.8,22.9,23.3
 27-04-2024 22:04:29,52,66,5778.422,41,83.295,53,1293,100,100,17.643,51.8,20.8,22.9,23.3
 27-04-2024 22:04:30,52,58,5804.234,38,84.556,53,1290,100,99.987,17.642,58.1,20.8,22.9,23.3
 27-04-2024 22:04:31,52,68,5805.609,44,82.471,53,1292,100,99.985,17.581,60,20.8,22.9,23.3
 27-04-2024 22:04:32,49,21,5908.809,42,39.983,53,1307,100,100,17.333,19.6,20.8,22.9,23.3
 27-04-2024 22:04:33,53,92,5850.539,65,97.439,53,1315,100,100,17.516,33.3,20.8,22.9,23.3
 27-04-2024 22:04:34,52,71,5714.039,46,82.588,52,1317,100,100,16.993,41.6,20.8,22.9,23.3
 27-04-2024 22:04:35,53,84,5704.949,56,97.872,52,1308,100,100,17.361,39.6,20.8,22.9,23.3
 27-04-2024 22:04:36,53,83,5801.387,51,92.643,52,1296,100,100,17.422,42.9,20.8,22.9,23.3
 27-04-2024 22:04:37,54,92,5872.012,44,54.526,52,1296,100,100,17.277,44.3,20.8,22.9,23.3
 27-04-2024 22:04:38,54,95,5854.844,62,105.458,52,1291,100,100,16.398,43.9,20.8,22.9,23.3
 27-04-2024 22:04:39,55,97,5846.688,68,107.182,53,1296,100,100,17.145,49.2,20.8,22.9,23.3
 27-04-2024 22:04:40,56,97,5830.57,69,97.495,53,1309,100,100,16.845,52.1,20.8,22.9,23.3
 27-04-2024 22:04:41,55,95,5850.352,71,107.736,53,1313,100,100,17.522,39.9,20.8,22.9,23.3
 27-04-2024 22:04:42,56,100,5843.227,72,103.13,53,1312,100,99.98,17.382,45.4,20.8,22.9,23.3
 27-04-2024 22:04:43,56,100,5831.227,74,105.01,53,1316,100,100,16.964,46.2,20.8,22.9,23.3
 27-04-2024 22:04:44,56,100,5843.227,69,107.098,55,1318,100,100,17.059,48.2,20.8,22.9,23.3
 27-04-2024 22:04:45,55,91,5863.977,43,39.245,55,1330,100,100,16.944,45.9,20.8,22.9,23.3
