 24-04-2024 21:20:00, GPU temperature     ,GPU temperature 2   ,GPU usage           ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,T outside (C ),T Exhaust (C ),T Internal (C )
 24-04-2024 21:21:00,49,60,74,122,49,2341,72,30.91,52.558,56.9,22.6,29.3,26.3
 24-04-2024 21:21:01,48,64,80,133,49,2345,71,32.079,53.417,54.9,22.6,29.3,26.3
 24-04-2024 21:21:02,49,61,78,131,49,2341,63,31.18,50.913,55.9,22.6,29.3,26.3
 24-04-2024 21:21:03,49,63,79,139,49,2344,64,32.444,50.286,59.9,22.6,29.3,26.3
 24-04-2024 21:21:04,49,62,84,135,49,2344,65,34.293,55.547,59.9,22.6,29.3,26.3
 24-04-2024 21:21:05,49,61,88,122,49,2344,70,34.51,51.981,57.9,22.6,29.3,26.3
 24-04-2024 21:21:06,48,57,68,105,49,2344,67,36.892,50.257,59.9,22.6,29.3,26.3
 24-04-2024 21:21:07,49,59,64,122,49,2349,67,33.545,49.529,59.9,22.6,29.3,26.3
 24-04-2024 21:21:08,49,62,78,119,49,2346,66,29.652,49.428,59.9,22.6,29.3,26.3
 24-04-2024 21:21:09,49,58,89,108,49,2347,67,29.072,44.897,59.9,22.6,29.3,26.3
 24-04-2024 21:21:10,47,55,83,98,49,2343,62,29.136,41.547,59.9,22.6,29.3,26.3
 24-04-2024 21:21:11,48,56,74,103,48,2334,64,30.959,39.507,59.9,22.6,29.3,26.3
 24-04-2024 21:21:12,47,55,66,99,48,2319,62,28.755,38.299,59.9,22.6,29.3,26.3
 24-04-2024 21:21:13,48,57,61,97,48,2321,61,27.936,37.253,59.9,22.6,29.3,26.3
 24-04-2024 21:21:14,47,55,57,92,48,2310,59,29.112,37.126,59.9,22.6,29.3,26.3
 24-04-2024 21:21:15,48,57,62,114,48,2305,67,29.474,46.034,59.9,22.6,29.3,26.3
 24-04-2024 21:21:16,49,61,82,131,49,2317,65,29.384,47.869,59.9,22.6,29.3,26.3
 24-04-2024 21:21:17,49,61,77,132,49,2338,66,23.353,43.753,59.9,22.6,29.3,26.3
 24-04-2024 21:21:18,50,62,63,124,49,2340,66,29.512,51.721,59.9,22.6,29.3,26.3
 24-04-2024 21:21:19,48,59,67,114,49,2346,66,30.607,50.121,59.9,22.6,29.3,26.3
 24-04-2024 21:21:20,48,59,75,113,49,2349,66,28.823,44.495,59.9,22.6,29.3,26.3
 24-04-2024 21:21:21,48,58,72,110,49,2345,63,29.609,47.181,59.9,22.6,29.3,26.3
 24-04-2024 21:21:22,48,58,75,106,49,2346,66,30.007,45.618,59.9,22.6,29.3,26.3
 24-04-2024 21:21:23,49,60,86,118,49,2341,67,32.569,51.023,58.9,22.6,29.3,26.3
 24-04-2024 21:21:24,49,61,90,128,49,2342,67,32.468,52.246,59.9,22.6,29.3,26.3
 24-04-2024 21:21:25,49,62,87,139,49,2340,68,32.82,55.131,59.9,22.6,29.3,26.3
 24-04-2024 21:21:26,49,64,84,125,49,2338,70,33.582,55.3,58.9,22.6,29.3,26.3
 24-04-2024 21:21:27,49,64,92,140,49,2336,66,32.295,52.89,59.9,22.6,29.3,26.3
 24-04-2024 21:21:28,49,62,90,127,49,2343,68,30.924,44.108,59.9,22.6,29.3,26.3
 24-04-2024 21:21:29,49,61,75,121,49,2340,66,30.481,41.072,59.9,22.6,29.3,26.3
 24-04-2024 21:21:30,48,59,62,120,49,2345,65,30.677,43.865,59.9,22.6,29.3,26.3
 24-04-2024 21:21:31,49,64,76,130,49,2346,68,34.795,55.47,59.9,22.6,29.3,26.3
 24-04-2024 21:21:32,50,63,93,130,49,2343,68,33.478,52.121,59.9,22.6,29.3,26.3
 24-04-2024 21:21:33,49,63,92,136,49,2343,68,33.869,53.289,59.9,22.6,29.3,26.3
