 24-04-2024 23:17:42, GPU temperature     ,GPU temperature 2   ,GPU usage           ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,T outside (C ),T Exhaust (C ),T Internal (C )
 24-04-2024 23:19:59,42,49,84,84,90,3615,61,29.428,39.548,59.9,22.6,32,27.2
 24-04-2024 23:20:00,42,50,85,88,90,3615,62,31.533,42.473,59.9,22.6,32,27.2
 24-04-2024 23:20:01,42,51,87,92,90,3613,65,28.651,43.373,59.8,22.6,32,27.2
 24-04-2024 23:20:02,42,49,76,87,90,3609,63,31.221,44.465,59.9,22.6,32,27.2
 24-04-2024 23:20:03,42,49,74,81,90,3605,65,29.54,43.747,59.9,22.6,32,27.2
 24-04-2024 23:20:04,41,49,80,79,90,3615,62,31.323,41.002,59.9,22.6,32,27.2
 24-04-2024 23:20:05,42,49,74,79,90,3609,62,29.198,41.973,58.9,22.6,32,27.2
 24-04-2024 23:20:06,42,49,70,80,90,3597,64,30.382,41.776,59.9,22.6,32,27.2
 24-04-2024 23:20:07,42,49,73,82,90,3609,70,31.452,42.468,59.9,22.6,32,27.2
 24-04-2024 23:20:08,41,50,66,88,90,3606,66,34.599,50.506,57.9,22.6,32,27.2
 24-04-2024 23:20:09,43,50,59,91,90,3606,65,32.396,46.704,59.9,22.6,32,27.2
 24-04-2024 23:20:10,42,49,59,84,90,3608,61,33.033,47.797,59.9,22.6,32,27.2
 24-04-2024 23:20:11,42,49,62,80,90,3606,65,30.112,44.581,59.9,22.6,32,27.2
 24-04-2024 23:20:12,42,49,62,84,90,3610,63,30.971,44.226,59.7,22.6,32,27.2
 24-04-2024 23:20:13,42,49,54,79,90,3610,65,30.076,43.594,59.9,22.6,32,27.2
 24-04-2024 23:20:14,42,49,56,78,90,3608,63,29.735,44.092,59.9,22.6,32,27.2
 24-04-2024 23:20:15,43,49,63,84,90,3605,65,31.659,44.257,59.9,22.6,32,27.2
 24-04-2024 23:20:16,42,49,60,81,90,3609,61,29.831,42.682,59.9,22.6,32,27.2
 24-04-2024 23:20:17,42,49,63,90,90,3609,61,28.175,39.68,59.9,22.6,32,27.2
 24-04-2024 23:20:18,42,50,72,94,90,3606,65,29.14,42.558,59.9,22.6,32,27.2
 24-04-2024 23:20:19,42,50,68,91,90,3608,63,29.322,44.035,59.9,22.6,32,27.2
 24-04-2024 23:20:20,43,54,61,115,90,3609,62,30.988,39.674,59.9,22.6,32,27.2
 24-04-2024 23:20:21,44,56,63,126,90,3602,67,31.866,41.663,59.9,22.6,32,27.2
 24-04-2024 23:20:22,43,53,69,109,90,3600,67,30.902,51.046,59.9,22.6,32,27.2
 24-04-2024 23:20:23,44,57,68,135,90,3595,70,33.023,52.708,57.9,22.6,32,27.2
 24-04-2024 23:20:24,44,59,78,138,90,3603,67,32.737,54.551,59.9,22.6,32,27.2
