 24-04-2024 21:58:21, GPU temperature     ,GPU temperature 2   ,GPU usage           ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,T outside (C ),T Exhaust (C ),T Internal (C )
 24-04-2024 22:00:00,45,54,65,102,90,3611,72,36.473,51.583,57.9,22.6,32.2,27.6
 24-04-2024 22:00:01,45,53,59,103,90,3608,70,31.744,48.126,59.9,22.6,32.2,27.6
 24-04-2024 22:00:02,45,54,57,105,90,3609,68,32.669,49.846,59.9,22.6,32.2,27.6
 24-04-2024 22:00:03,45,54,58,104,90,3604,68,32.16,50.361,59.9,22.6,32.2,27.6
 24-04-2024 22:00:04,45,54,62,106,90,3601,67,32.748,49.493,59.9,22.6,32.2,27.6
 24-04-2024 22:00:05,45,53,67,102,90,3607,65,30.579,46.756,59.9,22.6,32.2,27.6
 24-04-2024 22:00:06,44,53,74,101,90,3607,66,31.084,44.852,59.9,22.6,32.2,27.6
 24-04-2024 22:00:07,45,56,81,116,90,3600,63,29.886,46.833,59.9,22.6,32.2,27.6
 24-04-2024 22:00:08,46,56,80,117,90,3595,66,29.233,46.743,59.9,22.6,32.2,27.6
 24-04-2024 22:00:09,45,54,70,100,90,3599,66,29.927,47.355,58.9,22.6,32.2,27.6
 24-04-2024 22:00:10,45,54,69,111,90,3602,67,29.837,47.545,59.9,22.6,32.2,27.6
 24-04-2024 22:00:11,45,54,73,109,90,3600,65,30.334,47.333,59.9,22.6,32.2,27.6
 24-04-2024 22:00:12,45,52,74,97,90,3602,67,29.725,46.244,59.9,22.6,32.2,27.6
 24-04-2024 22:00:13,45,52,86,104,90,3602,68,30.626,46.602,58.9,22.6,32.2,27.6
 24-04-2024 22:00:14,45,56,98,114,90,3606,63,29.277,46.23,59.9,22.6,32.2,27.6
 24-04-2024 22:00:15,45,56,88,114,90,3603,63,28.666,44.016,59.9,22.6,32.2,27.6
 24-04-2024 22:00:16,45,55,79,102,90,3599,62,27.692,40.93,57.9,22.6,32.2,27.6
 24-04-2024 22:00:17,45,59,83,124,90,3607,67,30.78,44.399,59.9,22.6,32.2,27.6
 24-04-2024 22:00:18,45,56,85,123,90,3603,66,31.128,47.514,59.9,22.6,32.2,27.6
 24-04-2024 22:00:19,46,56,80,118,90,3590,71,35.344,49.922,59.9,22.6,32.2,27.6
 24-04-2024 22:00:20,46,59,82,124,90,3602,67,31.21,46.925,59.9,22.6,32.2,27.6
 24-04-2024 22:00:21,46,55,75,97,90,3601,68,31.096,43.922,59.9,22.6,32.2,27.6
 24-04-2024 22:00:22,46,61,63,138,90,3593,71,33.926,57.175,59.9,22.6,32.2,27.6
 24-04-2024 22:00:23,46,60,74,140,90,3598,68,34.092,57.408,59.9,22.6,32.2,27.6
 24-04-2024 22:00:24,47,59,86,136,90,3601,71,32.511,53.644,59.9,22.6,32.2,27.6
 24-04-2024 22:00:25,46,57,90,112,90,3592,67,29.472,43.725,59.9,22.6,32.2,27.6
 24-04-2024 22:00:26,46,58,73,129,90,3606,62,30.076,39.287,59.9,22.6,32.2,27.6
 24-04-2024 22:00:27,46,60,71,127,90,3599,71,29.852,46.253,59.9,22.6,32.2,27.6
 24-04-2024 22:00:28,46,58,75,125,90,3595,63,30.579,46.41,59.9,22.6,32.2,27.6
 24-04-2024 22:00:29,46,58,63,126,90,3601,65,30.538,44.077,59.9,22.6,32.2,27.6
 24-04-2024 22:00:30,46,59,73,123,90,3602,62,21.172,37.569,59.9,22.6,32.2,27.6
 24-04-2024 22:00:31,46,61,74,124,90,3605,63,27.466,44.026,59.9,22.6,32.2,27.6
 24-04-2024 22:00:32,46,58,64,118,90,3600,63,30.143,44.177,59.9,22.6,32.2,27.6
 24-04-2024 22:00:33,46,57,72,122,90,3593,61,32.405,43.956,59.9,22.6,32.2,27.6
 24-04-2024 22:00:34,47,60,76,126,90,3598,64,31.176,46.083,59.9,22.6,32.2,27.6
 24-04-2024 22:00:35,46,59,69,120,90,3598,63,30.192,42.658,59.9,22.6,32.2,27.6
 24-04-2024 22:00:36,45,52,62,87,90,3597,66,30.19,45.362,59.9,22.6,32.2,27.6
 24-04-2024 22:00:37,46,59,66,126,90,3594,68,32.884,45.115,59.9,22.6,32.2,27.6
 24-04-2024 22:00:38,47,62,77,149,90,3585,64,36.043,55.064,59.9,22.6,32.2,27.6
 24-04-2024 22:00:39,47,59,90,131,90,3581,66,34.216,55.069,59.9,22.6,32.2,27.6
 24-04-2024 22:00:40,46,59,81,124,90,3586,65,30.659,43.629,59.9,22.6,32.2,27.6
 24-04-2024 22:00:41,46,60,60,138,90,3596,67,32.144,43.203,59.9,22.6,32.2,27.6
 24-04-2024 22:00:42,46,56,68,114,90,3595,62,31.276,43.034,59.9,22.6,32.2,27.6
 24-04-2024 22:00:43,46,52,74,99,90,3600,63,33.073,37.366,59.9,22.6,32.2,27.6
 24-04-2024 22:00:44,46,60,84,125,90,3599,66,29.068,40.703,59.9,22.6,32.2,27.6
 24-04-2024 22:00:45,47,58,87,121,90,3596,66,29.041,40.521,59.9,22.6,32.2,27.6
 24-04-2024 22:00:46,47,56,73,119,90,3608,67,30.234,41.468,59.9,22.6,32.2,27.6
 24-04-2024 22:00:47,47,58,72,128,90,3606,65,26.952,43.866,59.9,22.6,32.2,27.6
 24-04-2024 22:00:48,47,60,74,129,90,3602,67,28.311,45.873,59.9,22.6,32.2,27.6
 24-04-2024 22:00:49,47,60,70,126,90,3587,67,30.604,48.527,59.9,22.6,32.2,27.6
 24-04-2024 22:00:50,46,58,64,127,90,3589,66,29.491,44.617,59.9,22.6,32.2,27.6
 24-04-2024 22:00:51,47,58,67,123,90,3596,67,31.135,51.205,59.9,22.6,32.2,27.6
 24-04-2024 22:00:52,46,59,73,122,90,3588,67,32.476,48.149,59.9,22.6,32.2,27.6
 24-04-2024 22:00:53,47,58,70,121,90,3588,68,33.874,47.061,59.9,22.6,32.2,27.6
 24-04-2024 22:00:54,46,55,67,112,90,3586,68,32.433,48.456,59.9,22.6,32.2,27.6
 24-04-2024 22:00:55,46,53,70,104,90,3589,67,29.293,48.831,59.9,22.6,32.2,27.6
 24-04-2024 22:00:56,46,58,84,124,90,3592,65,28.75,47.819,58.9,22.6,32.2,27.6
