 24-04-2024 22:50:44, GPU temperature     ,GPU temperature 2   ,GPU usage           ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,T outside (C ),T Exhaust (C ),T Internal (C )
 24-04-2024 22:55:00,43,50,88,75,47,2249,60,25.52,36.946,58.9,22.6,31.1,26.7
 24-04-2024 22:55:01,43,50,73,76,47,2255,58,26.22,38.438,54.9,22.6,31.1,26.7
 24-04-2024 22:55:02,43,50,73,80,47,2258,70,36.614,52.453,59.9,22.6,31.1,26.7
 24-04-2024 22:55:03,43,50,82,79,47,2259,58,31.499,44.1,59.9,22.6,31.1,26.7
 24-04-2024 22:55:04,43,50,83,81,46,2262,59,35.203,50.516,59.9,22.6,31.1,26.7
 24-04-2024 22:55:05,44,50,81,79,46,2236,57,30.207,40.092,59.9,22.6,31.1,26.7
 24-04-2024 22:55:06,43,50,78,80,46,2225,58,29.129,37.412,59.9,22.6,31.1,26.7
 24-04-2024 22:55:07,43,50,79,81,46,2225,56,30.008,38.196,59.9,22.6,31.1,26.7
 24-04-2024 22:55:08,43,51,82,87,46,2225,61,30.387,38.179,59.9,22.6,31.1,26.7
 24-04-2024 22:55:09,44,51,76,95,46,2223,58,30.14,39.397,59.9,22.6,31.1,26.7
 24-04-2024 22:55:10,44,50,74,87,46,2221,57,29.985,43.3,59.9,22.6,31.1,26.7
 24-04-2024 22:55:11,44,52,73,89,46,2223,57,31.115,43.199,58.9,22.6,31.1,26.7
 24-04-2024 22:55:12,44,51,49,89,46,2224,58,28.722,41.156,57.9,22.6,31.1,26.7
 24-04-2024 22:55:13,44,51,45,90,46,2225,60,31.465,41.666,59.9,22.6,31.1,26.7
 24-04-2024 22:55:14,44,52,56,90,47,2221,61,29.685,42.814,59.9,22.6,31.1,26.7
 24-04-2024 22:55:15,44,50,53,89,47,2246,57,30.24,41.086,59.9,22.6,31.1,26.7
 24-04-2024 22:55:16,44,50,58,85,47,2253,58,30.542,42.444,59.9,22.6,31.1,26.7
 24-04-2024 22:55:17,44,52,57,94,47,2255,57,29.66,43.162,57.9,22.6,31.1,26.7
 24-04-2024 22:55:18,44,51,60,90,47,2253,60,34.681,48.747,59.9,22.6,31.1,26.7
 24-04-2024 22:55:19,44,53,64,101,47,2257,62,34.055,48.7,57.9,22.6,31.1,26.7
 24-04-2024 22:55:20,44,56,55,99,47,2258,61,32.474,43.278,59.9,22.6,31.1,26.7
