 27-04-2024 22:41:16, GPU temperature     ,GPU usage           ,Memory usage        ,Power percent       ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 22:45:00,57,83,5023.293,57,94.106,57,1412,100,100,16.817,49.8,20.8,26.1,27
 27-04-2024 22:45:01,54,35,5023.293,54,99.715,57,1419,100,98.806,17.973,45.4,20.8,26.1,27
 27-04-2024 22:45:02,53,35,5023.293,26,35.274,57,1424,100,100,17.553,45.9,20.8,26.1,27
 27-04-2024 22:45:03,57,92,5023.293,67,97.748,57,1414,100,99.504,17.458,37.6,20.8,26.1,27
 27-04-2024 22:45:04,58,96,5023.293,71,103.538,57,1414,100,100,17.025,50.3,20.8,26.1,27
 27-04-2024 22:45:05,58,97,5023.293,69,88.925,57,1421,100,89.335,16.958,51.1,20.8,26.1,27
 27-04-2024 22:45:06,56,80,5023.449,69,103.433,57,1421,100,98.917,17.451,32,20.8,26.1,27
 27-04-2024 22:45:07,57,87,5040.324,63,98.776,57,1423,100,100,16.915,48.7,20.8,26.1,27
 27-04-2024 22:45:08,58,95,5040.324,66,103.921,57,1415,100,100,18.205,51.9,20.8,26.1,27
 27-04-2024 22:45:09,57,81,5040.324,62,100.325,58,1423,100,100,17.16,47.7,20.8,26.1,27
 27-04-2024 22:45:10,52,0,5040.531,26,35.081,58,1429,100,100,17.887,48.8,20.8,26.1,27
 27-04-2024 22:45:11,57,93,5033.031,63,96.927,58,1426,100,100,17.571,37.7,20.8,26.1,27
 27-04-2024 22:45:12,57,85,5049.906,62,101.965,58,1428,100,100,17.673,46.5,20.8,26.1,27
 27-04-2024 22:45:13,57,89,5092.656,66,80.79,58,1426,100,100,17.644,36.5,20.8,26.1,27
 27-04-2024 22:45:14,58,97,5084.906,66,90.892,57,1433,100,100,17.283,43.8,20.8,26.1,27
 27-04-2024 22:45:15,57,85,5084.906,66,103.951,57,1434,100,100,17.696,36.9,20.8,26.1,27
 27-04-2024 22:45:16,57,86,5084.906,64,101.746,57,1433,100,100,17.203,46.3,20.8,26.1,27
 27-04-2024 22:45:17,57,87,5094.281,64,76.185,57,1435,100,100,17.061,47.6,20.8,26.1,27
 27-04-2024 22:45:18,57,86,5095.781,58,104.069,57,1436,100,100,17.204,43.9,20.8,26.1,27
 27-04-2024 22:45:19,57,80,5095.781,53,97.798,57,1433,100,100,17.373,42.7,20.8,26.1,27
 27-04-2024 22:45:20,56,72,5095.211,52,77.358,57,1421,99,98.927,17.681,43.5,20.8,26.1,27
 27-04-2024 22:45:21,58,96,5089.059,60,84.317,57,1416,100,95.257,17.558,46.3,20.8,26.1,27
 27-04-2024 22:45:22,57,88,5089.48,58,70.401,57,1411,100,93.727,17.201,43.8,20.8,26.1,27
 27-04-2024 22:45:23,57,91,5089.48,58,82.951,57,1416,100,94.968,16.866,47.1,20.8,26.1,27
 27-04-2024 22:45:24,57,88,5089.48,61,92.541,57,1426,100,94.745,17.273,45.8,20.8,26.1,27
 27-04-2024 22:45:25,58,91,5089.48,65,102.293,57,1420,99,95.218,17.528,45.7,20.8,26.1,27
 27-04-2024 22:45:26,56,83,5089.48,58,96.168,57,1415,100,97.357,18.107,42.4,20.8,26.1,27
 27-04-2024 22:45:27,54,56,5089.48,34,72.096,57,1420,100,98.769,17.672,47.8,20.8,26.1,27
 27-04-2024 22:45:28,55,75,5089.48,56,89.727,57,1421,100,100,17.238,47.4,20.8,26.1,27
 27-04-2024 22:45:29,57,100,5115.73,71,99.884,55,1416,100,100,16.658,40.8,20.8,26.1,27
 27-04-2024 22:45:30,54,7,5115.73,26,35.611,55,1414,100,100,16.687,36.4,20.8,26.1,27
 27-04-2024 22:45:31,56,68,5113.73,69,107.131,55,1400,100,100,17.194,14.5,20.8,26.1,27
 27-04-2024 22:45:32,56,42,5127.031,68,103.538,55,1399,99,100,17.565,33.4,20.8,26.1,27
 27-04-2024 22:45:33,54,80,5116.516,35,94.408,55,1387,100,100,17.741,36.5,20.8,26.1,27
 27-04-2024 22:45:34,57,86,5093.355,69,105.023,53,1375,100,100,17.812,44.7,20.8,26.1,27
 27-04-2024 22:45:35,57,95,5093.355,68,93.69,53,1360,100,100,17.51,49,20.8,26.1,27
 27-04-2024 22:45:36,53,63,5104.105,25,35.177,53,1359,99,100,17.774,40.8,20.8,26.1,27
 27-04-2024 22:45:37,57,91,5104.105,61,58.764,53,1341,100,100,17.548,33.3,20.8,26.1,27
 27-04-2024 22:45:38,56,87,5104.105,54,93.675,53,1332,100,100,17.033,41.7,20.8,26.1,27
 27-04-2024 22:45:39,55,65,5094.73,49,97.423,56,1334,100,100,17.168,49,20.8,26.1,27
 27-04-2024 22:45:40,57,99,5104.105,68,99.792,56,1346,100,100,17.272,44.2,20.8,26.1,27
 27-04-2024 22:45:41,58,100,5094.73,66,100.646,56,1360,100,99.999,17.651,44.9,20.8,26.1,27
 27-04-2024 22:45:42,57,88,5104.105,66,99.84,56,1363,99,100,17.829,45.8,20.8,26.1,27
 27-04-2024 22:45:43,58,92,5094.73,65,103.033,56,1371,100,100,17.831,45.3,20.8,26.1,27
 27-04-2024 22:45:44,57,92,5094.73,62,100.315,58,1381,100,99.894,17.665,47.5,20.8,26.1,27
 27-04-2024 22:45:45,55,69,5094.73,48,70.242,58,1402,100,98.911,17.272,46.9,20.8,26.1,27
 27-04-2024 22:45:46,55,83,5094.73,26,35.77,58,1407,100,99.01,17.134,49.5,20.8,26.1,27
 27-04-2024 22:45:47,57,91,5104.105,63,80.024,58,1418,100,91.262,16.574,39.6,20.8,26.1,27
 27-04-2024 22:45:48,58,96,5094.73,67,91.17,58,1429,100,92.856,16.929,48.3,20.8,26.1,27
 27-04-2024 22:45:49,58,98,5094.73,64,102.301,58,1433,100,89.114,17.409,50.5,20.8,26.1,27
 27-04-2024 22:45:50,58,96,5094.73,67,94.335,58,1437,100,95.91,16.999,52,20.8,26.1,27
 27-04-2024 22:45:51,58,93,5076.23,65,74.706,58,1436,100,100,17.632,50.9,20.8,26.1,27
 27-04-2024 22:45:52,57,91,5076.23,64,102.214,58,1435,100,100,17.858,52.7,20.8,26.1,27
 27-04-2024 22:45:53,54,53,5076.23,41,77.553,58,1450,100,100,17.246,51.2,20.8,26.1,27
 27-04-2024 22:45:54,57,93,5093.105,69,97.95,54,1445,100,100,16.63,53.9,20.8,26.1,27
 27-04-2024 22:45:55,56,80,5093.105,53,83.411,54,1426,100,100,17,48.5,20.8,26.1,27
 27-04-2024 22:45:56,57,93,5076.23,61,100.094,54,1402,100,100,18.156,57.5,20.8,26.1,27
 27-04-2024 22:45:57,56,74,5093.105,57,84.096,54,1385,99,100,17.073,49.7,20.8,26.1,27
 27-04-2024 22:45:58,57,83,5102.48,61,84.591,54,1381,100,100,16.409,46.6,20.8,26.1,27
 27-04-2024 22:45:59,57,85,5093.105,58,90.344,57,1373,100,100,18.25,48.9,20.8,26.1,27
 27-04-2024 22:46:00,56,80,5102.48,60,96.951,57,1373,100,100,17.855,46.6,20.8,26.1,27
 27-04-2024 22:46:01,57,89,5102.48,59,104.67,57,1385,100,98.508,17.381,44.1,20.8,26.1,27
 27-04-2024 22:46:02,57,90,5104.105,62,92.977,57,1392,100,94.557,17.107,43.3,20.8,26.1,27
 27-04-2024 22:46:03,57,90,5104.105,64,85.999,57,1400,100,95.423,17.336,43.9,20.8,26.1,27
 27-04-2024 22:46:04,57,82,5094.73,61,94.729,57,1409,100,93.449,17.018,49.1,20.8,26.1,27
 27-04-2024 22:46:05,57,91,5094.73,62,105.172,57,1413,100,92.124,17.676,48.2,20.8,26.1,27
 27-04-2024 22:46:06,58,99,5094.73,70,98.085,57,1416,100,97.673,17.591,44.8,20.8,26.1,27
 27-04-2024 22:46:07,58,100,5094.73,71,103.376,57,1410,100,66.904,16.321,44.3,20.8,26.1,27
 27-04-2024 22:46:08,58,99,5094.73,69,102.112,57,1411,100,93.538,16.832,45.9,20.8,26.1,27
 27-04-2024 22:46:09,57,87,5104.105,51,72.126,58,1417,100,100,17.395,47.3,20.8,26.1,27
 27-04-2024 22:46:10,58,95,5104.105,65,102.284,58,1429,100,100,17.04,43.1,20.8,26.1,27
 27-04-2024 22:46:11,57,89,5094.73,62,86.484,58,1434,99,100,16.805,43.1,20.8,26.1,27
 27-04-2024 22:46:12,58,98,5094.73,68,103.529,58,1436,100,93.462,17.571,49.1,20.8,26.1,27
