 27-04-2024 23:12:33, GPU temperature     ,GPU usage           ,Memory usage        ,Power percent       ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 23:21:00,32,76,1421.426,19,22.791,100,2493,100,67.306,21.835,60,20.8,25.3,26.2
 27-04-2024 23:21:01,32,77,1429.445,21,23.166,100,2500,100,65.863,22.413,59.9,20.8,25.3,26.2
 27-04-2024 23:21:02,33,77,1432.008,21,24.176,100,2503,100,64.387,22.312,60,20.8,25.3,26.2
 27-04-2024 23:21:03,33,48,1435.207,35,44.522,100,2497,100,75.941,21.872,60,20.8,25.3,26.2
 27-04-2024 23:21:04,34,25,1437.492,35,40.059,100,2479,100,64.652,19.382,60,20.8,25.3,26.2
 27-04-2024 23:21:05,34,25,1461.102,35,40.755,100,2486,100,63.727,19.029,60,20.8,25.3,26.2
 27-04-2024 23:21:06,33,32,1472.871,35,34.15,100,2490,100,68.65,19.139,59.9,20.8,25.3,26.2
 27-04-2024 23:21:07,33,40,1472.996,35,33.812,100,2476,100,63.64,19.008,60,20.8,25.3,26.2
 27-04-2024 23:21:08,33,40,1474.84,35,33.973,100,2476,100,62.72,18.719,60,20.8,25.3,26.2
 27-04-2024 23:21:09,33,40,1481.508,34,36.705,100,2479,100,77.615,18.729,59.9,20.8,25.3,26.2
 27-04-2024 23:21:10,32,18,1485.586,19,25.477,100,2483,100,92.675,21.638,38.3,20.8,25.3,26.2
 27-04-2024 23:21:11,32,76,1476.875,20,24.805,100,2496,100,93.082,21.984,60,20.8,25.3,26.2
 27-04-2024 23:21:12,32,77,1485.508,21,24.752,100,2493,100,89.79,22.172,60,20.8,25.3,26.2
 27-04-2024 23:21:13,32,75,1495.871,20,24.839,100,2504,100,92.565,22.09,60,20.8,25.3,26.2
 27-04-2024 23:21:14,32,73,1496.121,21,24.752,100,2500,100,74.813,21.685,59.9,20.8,25.3,26.2
 27-04-2024 23:21:15,32,75,1510.941,21,24.406,100,2493,100,68.434,21.573,60,20.8,25.3,26.2
 27-04-2024 23:21:16,32,75,1511.691,19,24.118,100,2486,100,66.303,21.796,60,20.8,25.3,26.2
 27-04-2024 23:21:17,32,77,1520.629,20,25.32,100,2489,100,60.702,21.022,59.9,20.8,25.3,26.2
 27-04-2024 23:21:18,32,78,1520.629,20,23.592,100,2496,99,42.499,21.023,60,20.8,25.3,26.2
 27-04-2024 23:21:19,32,73,1520.629,21,23.977,100,2500,100,42.907,20.871,60,20.8,25.3,26.2
 27-04-2024 23:21:20,32,79,1521.379,20,24.988,100,2489,100,49.757,20.709,60,20.8,25.3,26.2
 27-04-2024 23:21:21,32,75,1521.254,21,24.454,100,2486,100,43.363,21.785,60,20.8,25.3,26.2
 27-04-2024 23:21:22,32,76,1521.254,21,24.265,100,2496,100,46.557,21.725,60,20.8,25.3,26.2
 27-04-2024 23:21:23,32,73,1521.129,19,23.977,100,2496,100,43.679,21.912,60,20.8,25.3,26.2
 27-04-2024 23:21:24,31,0,1521.129,21,15.659,100,2493,100,52.033,22.073,59.9,20.8,25.3,26.2
 27-04-2024 23:21:25,30,0,1521.129,13,15.512,100,2496,100,57.078,22.128,59.9,20.8,25.3,26.2
 27-04-2024 23:21:26,31,22,1451.941,33,39.262,100,2489,100,59.933,22.038,5.6,20.8,25.3,26.2
 27-04-2024 23:21:27,33,17,1340.191,34,38.06,100,2486,100,63.192,19.466,60,20.8,25.3,26.2
 27-04-2024 23:21:28,33,17,1365.309,33,38.166,100,2472,100,63.794,19.568,60,20.8,25.3,26.2
 27-04-2024 23:21:29,33,17,1375.824,33,36.61,100,2479,100,65.154,19.205,60,20.8,25.3,26.2
 27-04-2024 23:21:30,32,20,1376.324,32,32.453,100,2472,100,66.64,19.14,60,20.8,25.3,26.2
 27-04-2024 23:21:31,31,52,1377.574,17,19.654,100,2486,100,64.762,21.118,59.9,20.8,25.3,26.2
 27-04-2024 23:21:32,31,51,1377.574,18,19.749,100,2496,100,63.57,21.832,59.9,20.8,25.3,26.2
 27-04-2024 23:21:33,31,52,1395.074,18,22.339,100,2496,100,64.176,21.751,59.9,20.8,25.3,26.2
 27-04-2024 23:21:34,31,53,1517.848,17,21.963,100,2496,100,68.491,21.916,60,20.8,25.3,26.2
 27-04-2024 23:21:35,31,52,1518.051,17,19.938,100,2486,100,64.944,22.127,60,20.8,25.3,26.2
 27-04-2024 23:21:36,31,52,1519.488,18,19.942,100,2496,99,83.402,22.403,59.9,20.8,25.3,26.2
 27-04-2024 23:21:37,31,50,1544.418,16,20.567,100,2496,100,73.23,22.275,60,20.8,25.3,26.2
 27-04-2024 23:21:38,31,51,1544.418,16,20.567,100,2483,100,63.268,21.803,60,20.8,25.3,26.2
 27-04-2024 23:21:39,30,2,1590.324,17,15.659,100,2486,99,83.357,22.137,51.8,20.8,25.3,26.2
 27-04-2024 23:21:40,32,64,1696.008,36,43.453,100,2493,99,99.989,21.883,10.4,20.8,25.3,26.2
 27-04-2024 23:21:41,34,19,1717.852,35,44.762,100,2476,100,100,19.704,56,20.8,25.3,26.2
 27-04-2024 23:21:42,34,40,1727.824,36,47.507,100,2476,100,99.979,19.005,54.1,20.8,25.3,26.2
 27-04-2024 23:21:43,34,37,1791.129,37,46.441,100,2469,100,96.708,18.557,60,20.8,25.3,26.2
